,MouseID,Tissue,Treatment,Age,Class,Frequency
0,YM13-MS,C,NT,Young,Total_SNV_Freq,6.9601951375495e-07
1,YM14-MS,C,NT,Young,Total_SNV_Freq,9.1694953493599e-07
2,YM3-MS,C,NT,Young,Total_SNV_Freq,8.2255906333145e-07
3,YM5-MS,C,NT,Young,Total_SNV_Freq,1.02040531990668e-06
4,YM7-MS,C,NT,Young,Total_SNV_Freq,8.1035749823131e-07
5,YM13-MS,RC,NT,Young,Total_SNV_Freq,1.42191168819972e-06
6,YM14-MS,RC,NT,Young,Total_SNV_Freq,1.16580198223116e-06
7,YM3-MS,RC,NT,Young,Total_SNV_Freq,1.32500760388739e-06
8,YM5-MS,RC,NT,Young,Total_SNV_Freq,1.54280906087737e-06
9,YM7-MS,RC,NT,Young,Total_SNV_Freq,1.43542835942684e-06
10,YM13-MS,He,NT,Young,Total_SNV_Freq,1.1347784065436e-06
11,YM14-MS,He,NT,Young,Total_SNV_Freq,1.51440154496435e-06
12,YM3-MS,He,NT,Young,Total_SNV_Freq,7.870008623386e-07
13,YM5-MS,He,NT,Young,Total_SNV_Freq,9.6014191089471e-07
14,YM7-MS,He,NT,Young,Total_SNV_Freq,1.37056796881034e-06
15,YM13-MS,Hi,NT,Young,Total_SNV_Freq,8.0029816060709e-07
16,YM14-MS,Hi,NT,Young,Total_SNV_Freq,1.0213520287917e-06
17,YM3-MS,Hi,NT,Young,Total_SNV_Freq,1.05959203153753e-06
18,YM5-MS,Hi,NT,Young,Total_SNV_Freq,1.06709784869593e-06
19,YM7-MS,Hi,NT,Young,Total_SNV_Freq,1.073544269612e-06
20,YM13-MS,K,NT,Young,Total_SNV_Freq,2.61084363769781e-06
21,YM14-MS,K,NT,Young,Total_SNV_Freq,2.5666775212287e-06
22,YM3-MS,K,NT,Young,Total_SNV_Freq,2.2881885644482e-06
23,YM5-MS,K,NT,Young,Total_SNV_Freq,2.06706712822154e-06
24,YM7-MS,K,NT,Young,Total_SNV_Freq,2.41654294614388e-06
25,YM13-MS,L,NT,Young,Total_SNV_Freq,1.60061187246037e-06
26,YM14-MS,L,NT,Young,Total_SNV_Freq,1.64915820469568e-06
27,YM3-MS,L,NT,Young,Total_SNV_Freq,1.56460375108359e-06
28,YM5-MS,L,NT,Young,Total_SNV_Freq,1.43954816478355e-06
29,YM7-MS,L,NT,Young,Total_SNV_Freq,1.59759148048162e-06
30,YM13-MS,M,NT,Young,Total_SNV_Freq,1.02995161705342e-06
31,YM14-MS,M,NT,Young,Total_SNV_Freq,9.0511013001561e-07
32,YM3-MS,M,NT,Young,Total_SNV_Freq,7.6673083204483e-07
33,YM5-MS,M,NT,Young,Total_SNV_Freq,1.15693102206204e-06
34,YM7-MS,M,NT,Young,Total_SNV_Freq,7.2682605123621e-07
35,YM13-MS,R,NT,Young,Total_SNV_Freq,7.7886798439239e-07
36,YM14-MS,R,NT,Young,Total_SNV_Freq,1.11816785372322e-06
37,YM3-MS,R,NT,Young,Total_SNV_Freq,1.20079403751838e-06
38,YM5-MS,R,NT,Young,Total_SNV_Freq,1.0215788242387e-06
39,YM7-MS,R,NT,Young,Total_SNV_Freq,1.34421495358483e-06
40,JW24-LF,C,NT,Old,Total_SNV_Freq,2.26709038356937e-06
41,JW24-NP,C,NT,Old,Total_SNV_Freq,1.6597000694231e-06
42,JW24-R,C,NT,Old,Total_SNV_Freq,2.31123628166691e-06
43,JW26-NP,C,NT,Old,Total_SNV_Freq,1.98994284062356e-06
44,OM7-MS,C,NT,Old,Total_SNV_Freq,1.82201898857138e-06
45,OM8-MS,C,NT,Old,Total_SNV_Freq,2.12276509541599e-06
46,JW24-LF,RC,NT,Old,Total_SNV_Freq,2.4816923315707e-06
47,JW24-NP,RC,NT,Old,Total_SNV_Freq,3.50845256191304e-06
48,JW24-R,RC,NT,Old,Total_SNV_Freq,4.04436350164205e-06
49,JW26-NP,RC,NT,Old,Total_SNV_Freq,4.22670626952314e-06
50,OM7-MS,RC,NT,Old,Total_SNV_Freq,4.65918685774956e-06
51,OM8-MS,RC,NT,Old,Total_SNV_Freq,4.58604119853939e-06
52,JW24-LF,He,NT,Old,Total_SNV_Freq,1.59668071330898e-06
53,JW24-NP,He,NT,Old,Total_SNV_Freq,1.79846526120828e-06
54,JW24-R,He,NT,Old,Total_SNV_Freq,1.77226739371397e-06
55,JW26-NP,He,NT,Old,Total_SNV_Freq,1.83228870567806e-06
56,OM7-MS,He,NT,Old,Total_SNV_Freq,1.50864724228698e-06
57,OM8-MS,He,NT,Old,Total_SNV_Freq,1.94349247054576e-06
58,JW24-LF,Hi,NT,Old,Total_SNV_Freq,2.94145285180521e-06
59,JW24-NP,Hi,NT,Old,Total_SNV_Freq,3.14200610805987e-06
60,JW24-R,Hi,NT,Old,Total_SNV_Freq,3.05089289447784e-06
61,JW26-NP,Hi,NT,Old,Total_SNV_Freq,3.16444270367473e-06
62,OM7-MS,Hi,NT,Old,Total_SNV_Freq,3.02703290068754e-06
63,OM8-MS,Hi,NT,Old,Total_SNV_Freq,2.85133461417045e-06
64,JW24-LF,K,NT,Old,Total_SNV_Freq,7.09867978224785e-06
65,JW24-NP,K,NT,Old,Total_SNV_Freq,6.78037929231517e-06
66,JW24-R,K,NT,Old,Total_SNV_Freq,5.82501872547018e-06
67,JW26-NP,K,NT,Old,Total_SNV_Freq,6.47151761829188e-06
68,OM7-MS,K,NT,Old,Total_SNV_Freq,7.36064036944777e-06
69,OM8-MS,K,NT,Old,Total_SNV_Freq,6.22741253160016e-06
70,JW24-LF,L,NT,Old,Total_SNV_Freq,5.39097291638587e-06
71,JW24-NP,L,NT,Old,Total_SNV_Freq,3.90209975567222e-06
72,JW24-R,L,NT,Old,Total_SNV_Freq,4.0410210959484e-06
73,JW26-NP,L,NT,Old,Total_SNV_Freq,3.81203499716581e-06
74,OM7-MS,L,NT,Old,Total_SNV_Freq,4.40862866396017e-06
75,OM8-MS,L,NT,Old,Total_SNV_Freq,4.99115771640829e-06
76,JW24-LF,M,NT,Old,Total_SNV_Freq,1.85409079935365e-06
77,JW24-NP,M,NT,Old,Total_SNV_Freq,1.67603250263921e-06
78,JW24-R,M,NT,Old,Total_SNV_Freq,2.73139181460218e-06
