,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,6937.0,4545.0,2742.0,4741.0,6459.219305948263,3066.3382745354
2,7032.0,4613.0,2799.0,4815.0,6548.988538024401,3124.8657305249967
3,7180.0,4703.0,2867.0,4917.0,6684.245007537627,3194.451333681952
4,7333.0,4804.0,2932.0,5023.0,6826.361860526056,3265.300281618046
5,7412.0,4866.0,2986.0,5088.0,6901.712950460096,3320.2112871348754
6,7574.0,4953.0,3011.0,5179.0,7048.699151378816,3356.6939846946134
7,7643.0,4999.0,3060.0,5234.0,7112.366488911753,3403.1948128396257
8,7768.0,5072.0,3111.0,5317.0,7226.08896248097,3456.250249675327
9,7849.0,5144.0,3176.0,5390.0,7305.6367740258065,3522.816930861518
10,7929.0,5203.0,3231.0,5454.0,7380.166724351763,3576.656202682214
11,8001.0,5255.0,3291.0,5516.0,7447.663423925953,3633.196084822145
12,8082.0,5326.0,3355.0,5588.0,7526.639449889191,3698.3966957908015
13,8228.0,5408.0,3410.0,5682.0,7658.45946075299,3755.5856105188586
14,8341.0,5503.0,3494.0,5779.0,7767.403442463325,3840.995353551557
15,8501.0,5605.0,3574.0,5893.0,7914.745842087971,3922.4972023831606
16,8611.0,5679.0,3634.0,5975.0,8017.579476217918,3984.0884898416616
17,8687.0,5735.0,3694.0,6039.0,8088.662146956583,4041.1851563400505
18,8817.0,5813.0,3768.0,6133.0,8206.602400815225,4111.851083276293
19,8911.0,5883.0,3820.0,6205.0,8295.800863305732,4167.088095602185
20,8996.0,5942.0,3883.0,6274.0,8374.506982452887,4226.6277408920205
21,9097.0,6014.0,3941.0,6351.0,8469.347213434725,4286.23923466793
22,9179.0,6079.0,4004.0,6421.0,8547.453757628728,4348.337952766436
23,9272.0,6157.0,4065.0,6498.0,8637.380439909337,4412.789882689676
24,9363.0,6223.0,4103.0,6563.0,8723.802320127103,4456.910416593508
25,9449.0,6283.0,4142.0,6625.0,8805.002198011123,4500.145389235662
26,9553.0,6346.0,4198.0,6699.0,8899.373150172489,4554.341542342931
27,9635.0,6412.0,4234.0,6760.0,8978.663618036768,4597.565496104403
28,9727.0,6480.0,4272.0,6826.0,9066.419064222882,4642.360910140999
29,9797.0,6544.0,4308.0,6883.0,9136.659394555147,4686.4045358024305
30,9885.0,6603.0,4359.0,6949.0,9218.20779127871,4737.249833276823
31,9972.0,6672.0,4394.0,7013.0,9302.914317902163,4781.016306489123
32,10023.0,6728.0,4426.0,7059.0,9355.921563020092,4820.237789908599
33,10085.0,6779.0,4452.0,7105.0,9416.210703650073,4852.361755127342
34,10204.0,6853.0,4509.0,7189.0,9526.058033083475,4911.066296881469
35,10331.0,6947.0,4571.0,7283.0,9646.482176789155,4979.362528521468
36,10528.0,7075.0,4671.0,7425.0,9828.859726218096,5081.956060454842
37,10612.0,7124.0,4722.0,7486.0,9904.168452913624,5129.060939834606
38,10688.0,7170.0,4755.0,7538.0,9974.049585565395,5163.581266578023
39,10767.0,7235.0,4795.0,7599.0,10050.607363887348,5209.46872099708
40,10851.0,7302.0,4853.0,7669.0,10131.361248206013,5268.9358301374195
41,10949.0,7360.0,4892.0,7734.0,10220.836326875306,5310.08047432139
42,11028.0,7413.0,4935.0,7792.0,10293.851714230881,5353.496586018384
43,11147.0,7499.0,4983.0,7876.0,10406.547947909043,5409.578254122272
44,11315.0,7574.0,5052.0,7980.0,10552.951920136351,5472.247974484986
45,11411.0,7641.0,5111.0,8054.0,10642.51738452729,5531.076636466825
46,11524.0,7707.0,5154.0,8128.0,10745.551830114035,5576.7773594835635
47,11621.0,7778.0,5201.0,8200.0,10837.885895940155,5628.906866719916
48,11755.0,7860.0,5254.0,8290.0,10961.355507977176,5686.233423374746
49,11829.0,7925.0,5286.0,8347.0,11034.757972114801,5727.2462789165575
50,11944.0,8007.0,5340.0,8430.0,11142.6386139698,5786.098226836216
51,12089.0,8109.0,5412.0,8537.0,11279.596868541445,5863.79593439754
52,12343.0,8232.0,5474.0,8683.0,11505.332486909838,5932.130567741658
53,12450.0,8311.0,5516.0,8759.0,11607.463562460764,5982.661145801303
54,12550.0,8378.0,5562.0,8830.0,11700.686793550747,6032.000619490181
55,12761.0,8473.0,5640.0,8958.0,11885.294427738123,6104.826322613128
56,12818.0,8534.0,5688.0,9013.0,11943.477250665268,6156.77538775252
57,12908.0,8596.0,5737.0,9080.0,12027.512439894586,6207.171539158198
58,13119.0,8711.0,5814.0,9215.0,12218.44428670374,6287.553320537616
59,13232.0,8790.0,5868.0,9297.0,12324.612632091497,6345.996931336193
60,13328.0,8852.0,5914.0,9365.0,12413.384203147629,6393.751308217315
61,13394.0,8900.0,5949.0,9414.0,12475.090260566214,6430.469573200131
62,13459.0,8923.0,5978.0,9453.0,12530.041910125155,6453.921828437558
63,13456.0,8913.0,5971.0,9447.0,12525.950727655987,6445.958745411947
64,13434.0,8920.0,5981.0,9445.0,12510.237456815812,6457.376089041103
65,13481.0,8954.0,6002.0,9479.0,12554.774048918418,6481.106289409179
66,13646.0,9033.0,6060.0,9580.0,12701.002229519656,6537.972011378547
67,13660.0,9005.0,6087.0,9584.0,12702.65494511122,6544.311161757945
68,13628.0,8984.0,6062.0,9558.0,12673.35936931841,6521.52329170797
69,13614.0,8962.0,6070.0,9549.0,12656.637620980498,6519.998220464577
70,13578.0,8960.0,6091.0,9543.0,12627.22967151713,6536.864767956482
71,13531.0,8934.0,6062.0,9509.0,12585.194510538413,6510.696474115182
72,13528.0,8963.0,6098.0,9530.0,12589.635966908481,6547.7844454840815
73,13609.0,9026.0,6141.0,9592.0,12666.955067422396,6594.904533830573
74,13608.0,8996.0,6163.0,9589.0,12657.196321402309,6598.49214457923
75,13655.0,9005.0,6166.0,9609.0,12696.025577585431,6600.0883552535
76,13645.0,8993.0,6170.0,9603.0,12684.955696739762,6599.029863846345
77,13652.0,8997.0,6166.0,9605.0,12691.237947188562,6596.907342960771
78,13647.0,9002.0,6176.0,9608.0,12688.009780828626,6606.029105900272
79,13624.0,8985.0,6169.0,9593.0,12666.673196139542,6597.102646843028
80,13624.0,8975.0,6175.0,9591.0,12663.111149790428,6596.72773912953
81,13681.0,8995.0,6200.0,9625.0,12711.457556811692,6616.744591254872
82,13715.0,9028.0,6214.0,9652.0,12745.9289342194,6636.4623933522935
83,13705.0,9012.0,6226.0,9648.0,12734.196620977564,6639.896322210825
84,13739.0,9008.0,6243.0,9663.0,12758.114470150229,6646.306875862304
85,13757.0,9013.0,6278.0,9683.0,12772.78967730815,6671.394244100378
86,13779.0,9023.0,6285.0,9696.0,12792.166379573295,6678.179003546109
87,13770.0,9023.0,6303.0,9699.0,12784.602736905708,6691.475168801811
88,13949.0,9083.0,6358.0,9797.0,12936.831245465271,6736.619756774569
89,14029.0,9087.0,6387.0,9834.0,12998.271519639236,6749.90092201174
90,14275.0,9186.0,6423.0,9961.0,13213.110327669303,6791.286242318733
91,14271.0,9165.0,6427.0,9954.0,13204.576295059078,6785.7814323550065
92,14403.0,9220.0,6459.0,10027.0,13319.984904814071,6817.4466326019465
93,14467.0,9244.0,6513.0,10075.0,13374.90246067971,6858.601635330899
94,14632.0,9270.0,6548.0,10150.0,13508.428600799289,6876.608710628481
95,14667.0,9292.0,6565.0,10175.0,13540.999244899896,6894.178459096285
96,14818.0,9357.0,6595.0,10257.0,13673.770636629466,6926.692627739846
97,14837.0,9350.0,6629.0,10272.0,13685.734904763403,6944.70279355751
98,14864.0,9348.0,6651.0,10288.0,13706.144952553455,6956.35311027285
99,14855.0,9368.0,6656.0,10293.0,13703.534562205754,6968.822101631744
