,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,4795.0,2586,2285.0,5664.0,2544,1808.0,3280.0,4703.541442352571,1869.2620377156118
2,4859.0,2626,2325.0,5741.0,2589,1854.0,3332.0,4768.664390673261,1908.2567864050031
3,4964.0,2693,2372.0,5863.0,2633,1902.0,3404.0,4870.359989582237,1950.8455360996556
4,5178.0,2784,2435.0,5974.0,2688,1958.0,3503.0,5009.668557731641,2009.8264182267244
5,5257.0,2834,2478.0,6069.0,2722,1982.0,3557.0,5088.065206536504,2039.6665973617057
6,5316.0,2856,2514.0,6149.0,2765,2017.0,3603.0,5151.012427660216,2068.853352848022
7,5389.0,2896,2561.0,6246.0,2811,2055.0,3660.0,5228.712817810164,2105.3205992839567
8,5465.0,2935,2594.0,6342.0,2858,2085.0,3713.0,5305.691582256426,2134.610953771848
9,5556.0,2989,2645.0,6447.0,2908,2130.0,3779.0,5394.748064991511,2177.7612598224778
10,5624.0,3043,2690.0,6556.0,2969,2166.0,3841.0,5477.965048933108,2218.7525832759256
11,5678.0,3079,2729.0,6644.0,3005,2198.0,3889.0,5543.951301254454,2248.8735917114436
12,5734.0,3116,2774.0,6764.0,3035,2230.0,3942.0,5624.014707483402,2275.088949027068
13,5809.0,3151,2815.0,6873.0,3081,2278.0,4001.0,5706.944159751566,2310.3741150252445
14,5917.0,3200,2861.0,6983.0,3136,2323.0,4070.0,5803.970587985852,2351.5810318784306
15,6067.0,3259,2897.0,7070.0,3181,2360.0,4139.0,5904.763007880729,2389.073751554083
16,6158.0,3311,2929.0,7165.0,3213,2384.0,4193.0,5986.623401041006,2415.49926743169
17,6219.0,3346,2963.0,7253.0,3247,2401.0,4238.0,6054.247269194683,2438.0602911612086
18,6290.0,3393,3010.0,7350.0,3286,2431.0,4293.0,6131.044224557334,2471.4768450596184
19,6387.0,3441,3049.0,7462.0,3340,2469.0,4358.0,6224.845467627141,2507.897879266429
20,6445.0,3481,3090.0,7539.0,3377,2506.0,4406.0,6287.0250498319365,2541.881505881268
21,6521.0,3526,3126.0,7639.0,3424,2557.0,4466.0,6367.762240409568,2581.2402061593793
22,6587.0,3555,3175.0,7760.0,3477,2598.0,4525.0,6452.524380674661,2614.7992178777577
23,6655.0,3603,3219.0,7859.0,3544,2636.0,4586.0,6531.7874155895515,2657.66394513918
24,6702.0,3650,3254.0,7951.0,3588,2670.0,4636.0,6598.275925940032,2691.3052974708407
25,6750.0,3679,3291.0,8053.0,3621,2721.0,4686.0,6667.258390398337,2722.493082775074
26,6816.0,3739,3332.0,8156.0,3664,2750.0,4743.0,6746.377350756419,2757.5725027566114
27,6887.0,3786,3379.0,8262.0,3705,2791.0,4802.0,6827.814216085779,2794.318848577459
28,6941.0,3818,3413.0,8352.0,3744,2828.0,4849.0,6893.423122732157,2822.948916343304
29,6989.0,3857,3445.0,8457.0,3783,2847.0,4896.0,6964.955510580618,2845.6365543811025
30,7073.0,3907,3504.0,8587.0,3836,2885.0,4965.0,7063.31175903278,2885.5435960172595
31,7131.0,3946,3541.0,8702.0,3868,2925.0,5019.0,7143.087367048998,2913.945109407841
32,7190.0,3981,3584.0,8799.0,3911,2960.0,5071.0,7215.346631538492,2945.8675460330696
33,7229.0,4011,3610.0,8887.0,3941,2996.0,5112.0,7274.144592319219,2969.2832661369494
34,7289.0,4053,3647.0,8985.0,3983,3039.0,5166.0,7347.804986702524,3003.7631663020816
35,7386.0,4108,3704.0,9127.0,4040,3097.0,5244.0,7457.111438245991,3050.70145625191
36,7458.0,4161,3743.0,9229.0,4075,3134.0,5300.0,7536.357007873892,3083.70041080913
37,7512.0,4212,3782.0,9302.0,4115,3166.0,5348.0,7596.750647846594,3119.4359450532565
38,7554.0,4239,3810.0,9364.0,4151,3194.0,5385.0,7645.3163284730535,3144.992011860467
39,7608.0,4276,3848.0,9443.0,4184,3211.0,5428.0,7706.843033521302,3169.631468974522
40,7693.0,4324,3886.0,9545.0,4225,3248.0,5487.0,7791.175009887591,3203.4726350471624
41,7752.0,4350,3916.0,9641.0,4264,3287.0,5535.0,7861.250774672986,3229.612882419796
42,7818.0,4398,3954.0,9723.0,4314,3329.0,5589.0,7930.058429733989,3268.974069702018
43,7910.0,4452,3993.0,9822.0,4361,3352.0,5648.0,8015.711462874768,3301.56008206753
44,8029.0,4498,4028.0,9905.0,4405,3378.0,5707.0,8101.961894517421,3333.5360365312645
45,8235.0,4602,4072.0,9995.0,4449,3409.0,5794.0,8226.086875797937,3383.6899638239215
46,8289.0,4653,4107.0,10093.0,4483,3432.0,5843.0,8297.171036458232,3410.8218915246894
47,8355.0,4691,4141.0,10185.0,4519,3470.0,5894.0,8369.069686368639,3441.07463611309
