,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,2896.0,3120.0,3232.0,3083.0,3222.6886418670706,2946.7970183970997
2,2938.0,3175.0,3274.0,3129.0,3269.975175119593,2991.5943960385894
3,3016.0,3252.0,3331.0,3200.0,3333.816727903004,3069.5202505898956
4,3073.0,3315.0,3390.0,3259.0,3394.2685600327486,3127.207777882519
5,3128.0,3359.0,3440.0,3309.0,3441.1892582625383,3180.15784851222
6,3182.0,3408.0,3483.0,3358.0,3485.933250825056,3233.2547529626245
7,3239.0,3455.0,3537.0,3410.0,3535.6910895807655,3287.542738512402
8,3282.0,3502.0,3587.0,3457.0,3585.51718432438,3331.736943461636
9,3348.0,3555.0,3645.0,3516.0,3640.3462906563764,3394.802227743246
10,3420.0,3627.0,3711.0,3586.0,3708.286548728795,3466.8098158403973
11,3474.0,3682.0,3754.0,3637.0,3755.7192065337367,3521.2354893732395
12,3518.0,3748.0,3805.0,3690.0,3814.060133268777,3569.132397558293
13,3580.0,3817.0,3859.0,3752.0,3874.825078872354,3632.2849215846227
14,3647.0,3863.0,3911.0,3807.0,3921.8216007552587,3695.0857471096733
15,3717.0,3925.0,3971.0,3871.0,3981.5018853534484,3763.296084874628
16,3774.0,3980.0,4017.0,3924.0,4030.9029934099135,3819.752504589602
17,3821.0,4038.0,4062.0,3974.0,4082.3954949863387,3868.2977946485253
18,3881.0,4090.0,4105.0,4025.0,4127.242766655316,3925.3973273952897
19,3950.0,4140.0,4151.0,4080.0,4172.269081134112,3990.1184682008966
20,3996.0,4191.0,4207.0,4131.0,4226.917933672489,4037.562008761785
21,4058.0,4247.0,4264.0,4190.0,4283.360859036322,4098.951737600854
22,4121.0,4307.0,4327.0,4252.0,4344.755502981405,4161.541765344637
23,4189.0,4372.0,4385.0,4315.0,4404.488826118125,4227.828323881044
24,4247.0,4431.0,4444.0,4374.0,4463.959250033928,4286.318569050606
25,4296.0,4492.0,4487.0,4425.0,4516.239611280774,4336.070627274598
26,4351.0,4547.0,4542.0,4480.0,4571.239611280774,4391.070627274598
27,4422.0,4601.0,4611.0,4545.0,4631.834612914437,4460.3127314096655
28,4468.0,4649.0,4653.0,4590.0,4676.282481806371,4505.902239427359
29,4518.0,4703.0,4715.0,4645.0,4735.171595675504,4557.162842863821
30,4591.0,4773.0,4762.0,4709.0,4792.324166162444,4627.734289211565
31,4643.0,4817.0,4807.0,4756.0,4835.77207113604,4678.196440481297
32,4684.0,4869.0,4849.0,4801.0,4883.899034976289,4720.14865552449
33,4711.0,4907.0,4883.0,4834.0,4921.290224729539,4748.868656247304
34,4773.0,4969.0,4928.0,4890.0,4974.407740561317,4807.729511163885
35,4853.0,5050.0,4989.0,4964.0,5046.34480351951,4883.740213473164
36,4888.0,5118.0,5060.0,5022.0,5119.666097836796,4926.8068629924755
37,4922.0,5157.0,5120.0,5066.0,5169.170974600417,4965.492622646196
38,4970.0,5205.0,5170.0,5115.0,5218.52133435513,5014.0998843740335
39,5011.0,5258.0,5229.0,5166.0,5276.239134007242,5058.552183208158
40,5077.0,5309.0,5273.0,5220.0,5321.945655457536,5120.584317641134
41,5119.0,5358.0,5322.0,5266.0,5371.212087391769,5163.503192937889
42,5174.0,5413.0,5369.0,5319.0,5422.860082161852,5217.718366218008
43,5233.0,5471.0,5427.0,5377.0,5480.395680116079,5276.222356976692
44,5299.0,5521.0,5475.0,5432.0,5527.6708767947,5338.7002121062815
45,5338.0,5576.0,5522.0,5479.0,5580.8802401515295,5379.648076562747
46,5375.0,5621.0,5564.0,5520.0,5625.138004546406,5417.52414918626
47,5423.0,5669.0,5617.0,5570.0,5675.859576798701,5466.769500835849
48,5467.0,5722.0,5669.0,5619.0,5728.867723498153,5511.965442211483
49,5519.0,5766.0,5721.0,5669.0,5776.413143205724,5564.255272299809
50,5584.0,5829.0,5762.0,5725.0,5828.386008079752,5624.231784111589
51,5643.0,5887.0,5820.0,5783.0,5885.931611600454,5682.725924725414
52,5712.0,5950.0,5874.0,5845.0,5944.2551426039645,5748.309301624167
53,5773.0,6011.0,5932.0,5905.0,6003.976007193663,5808.581369024028
54,5824.0,6073.0,5988.0,5962.0,6065.345295006594,5861.220118428822
55,5880.0,6128.0,6035.0,6014.0,6116.2949167847555,5914.346497761887
56,5935.0,6187.0,6087.0,6070.0,6173.606225681665,5968.965794789249
57,5992.0,6235.0,6139.0,6122.0,6221.929975482835,6024.6003080087
58,6048.0,6284.0,6190.0,6174.0,6271.008590684881,6079.447721691472
59,6104.0,6331.0,6237.0,6224.0,6317.127153218955,6133.230878965734
60,6144.0,6385.0,6280.0,6270.0,6368.658924245774,6173.787825307339
61,6220.0,6456.0,6341.0,6339.0,6435.356975184294,6245.0828379190825
62,6246.0,6459.0,6343.0,6349.0,6436.072287975758,6264.183672339172
63,6237.0,6466.0,6346.0,6350.0,6443.524952107267,6258.791799554294
64,6241.0,6473.0,6331.0,6348.0,6443.503490337614,6254.965957927759
65,6252.0,6486.0,6324.0,6354.0,6451.8570385818,6258.620756975115
66,6249.0,6502.0,6321.0,6357.0,6463.43425200564,6253.311974776258
67,6261.0,6505.0,6336.0,6367.0,6469.046966311269,6267.588169868795
68,6235.0,6466.0,6331.0,6344.0,6438.752308678997,6251.646873360995
69,6240.0,6465.0,6319.0,6341.0,6434.203630115284,6250.207583079192
70,6236.0,6467.0,6323.0,6342.0,6437.257545632879,6249.154429292507
71,6189.0,6447.0,6304.0,6313.0,6418.53474941143,6210.188701050295
72,6234.0,6483.0,6330.0,6349.0,6451.537797908869,6249.058517121267
73,6253.0,6530.0,6339.0,6374.0,6489.761248553506,6261.169891725066
74,6243.0,6539.0,6320.0,6367.0,6492.391054970706,6244.835175980005
75,6240.0,6540.0,6304.0,6361.0,6490.010012531327,6235.307853604875
76,6226.0,6532.0,6295.0,6351.0,6482.0496089273065,6223.26864128179
77,6232.0,6554.0,6293.0,6360.0,6499.652843389122,6223.831910428059
78,6238.0,6570.0,6298.0,6369.0,6513.456164054474,6228.150213762775
79,6231.0,6571.0,6287.0,6363.0,6511.844437808964,6217.924387530732
80,6247.0,6584.0,6289.0,6373.0,6522.947490809283,6226.900529600826
81,6270.0,6600.0,6287.0,6386.0,6537.715468339037,6238.074720843594
82,6266.0,6602.0,6294.0,6387.0,6539.2221512570795,6238.683465346776
83,6256.0,6587.0,6278.0,6374.0,6525.116676776589,6226.658350532927
84,6249.0,6573.0,6251.0,6358.0,6510.265940599553,6209.538186972564
85,6235.0,6565.0,6234.0,6345.0,6500.799818142812,6193.093789960776
86,6224.0,6567.0,6229.0,6340.0,6500.526218003996,6183.538396616507
87,6217.0,6562.0,6224.0,6334.0,6495.010092851349,6177.118041219792
88,6231.0,6562.0,6237.0,6343.0,6497.640173736753,6192.326669084097
89,6251.0,6576.0,6236.0,6354.0,6510.861669420331,6201.16142339146
90,6243.0,6580.0,6229.0,6351.0,6513.263931091704,6192.793353300894
91,6255.0,6590.0,6216.0,6354.0,6521.869741168562,6190.329486546548
92,6264.0,6584.0,6207.0,6352.0,6517.924430590154,6190.225540407664
93,6286.0,6587.0,6207.0,6360.0,6523.721307918874,6200.424208185159
94,6334.0,6598.0,6238.0,6390.0,6542.2103807235235,6241.643672194274
95,6332.0,6586.0,6217.0,6378.0,6532.165225218487,6227.789591536367
96,6338.0,6578.0,6231.0,6382.0,6527.08934029303,6240.635667867372
97,6352.0,6573.0,6223.0,6383.0,6527.5230662097465,6242.08500562412
98,6357.0,6553.0,6221.0,6377.0,6513.274233318946,6244.176307334372
99,6371.0,6577.0,6225.0,6391.0,6535.397599241354,6250.258629631038
100,6396.0,6594.0,6224.0,6405.0,6556.176221675236,6257.600313357973
101,6410.0,6586.0,6223.0,6406.0,6554.216901870198,6261.5872986548175
102,6432.0,6588.0,6215.0,6412.0,6564.953969110536,6262.867579882024
103,6439.0,6599.0,6193.0,6410.0,6576.9837816476,6247.295610727609
104,6435.0,6595.0,6175.0,6402.0,6575.076813390278,6233.254261244896
105,6459.0,6629.0,6196.0,6428.0,6606.125423976104,6254.3848124923015
106,6495.0,6647.0,6212.0,6451.0,6631.252369378787,6275.362993374416
107,6532.0,6663.0,6241.0,6479.0,6655.360190141275,6307.054021994269
108,6540.0,6671.0,6228.0,6480.0,6665.817787092625,6298.835898206325
109,6546.0,6652.0,6225.0,6474.0,6655.538563396321,6297.10936671587
110,6584.0,6656.0,6235.0,6492.0,6675.855695224996,6312.748308507686
111,6585.0,6653.0,6238.0,6492.0,6673.737906521085,6314.863800048287
112,6596.0,6650.0,6230.0,6492.0,6678.569022080302,6310.155011067118
113,6646.0,6684.0,6247.0,6526.0,6723.65689970249,6333.2965602539225
114,6679.0,6699.0,6258.0,6545.0,6748.33941247743,6346.860530453709
115,6713.0,6699.0,6279.0,6564.0,6765.370926402001,6367.676575282927
116,6720.0,6718.0,6297.0,6578.0,6776.934453191665,6384.153953127709
117,6723.0,6732.0,6304.0,6586.0,6785.673692141287,6391.433432220609
118,6732.0,6752.0,6316.0,6600.0,6800.984244821992,6404.10478991733
119,6749.0,6776.0,6331.0,6619.0,6822.709556313231,6420.397161092048
120,6752.0,6788.0,6325.0,6622.0,6832.289284875224,6416.984035755373
121,6758.0,6827.0,6345.0,6643.0,6855.826024411176,6435.614126009286
122,6788.0,6843.0,6350.0,6660.0,6880.584639839979,6445.051963947835
123,6820.0,6854.0,6373.0,6682.0,6901.171736316524,6468.429091807034
