,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,4123.0,5379.0,8618.0,6040.0,7933.664348998171,4194.284303221828
2,4201.0,5474.0,8777.0,6151.0,8079.445379919622,4271.332646129997
3,4295.0,5594.0,8982.0,6290.0,8265.795599246036,4364.283959032362
4,4413.0,5713.0,9298.0,6475.0,8540.7377011615,4461.516644277854
5,4503.0,5804.0,9462.0,6590.0,8689.345036751542,4543.760265469771
6,4562.0,5893.0,9585.0,6680.0,8804.799441515992,4609.00168195787
7,4618.0,5990.0,9724.0,6777.0,8934.580338403803,4674.102112488699
8,4675.0,6055.0,9882.0,6871.0,9073.60397030424,4724.11590662257
9,4758.0,6166.0,10046.0,6990.0,9226.06320721635,4810.555177726828
10,4821.0,6286.0,10170.0,7092.0,9348.92716984842,4892.270799102076
11,4885.0,6391.0,10296.0,7191.0,9471.252964768017,4968.433028688867
12,4950.0,6489.0,10454.0,7298.0,9616.614582748356,5038.042748606748
13,5033.0,6573.0,10618.0,7408.0,9763.274223241673,5112.362652043374
14,5121.0,6667.0,10818.0,7535.0,9940.47353273044,5190.485714272558
15,5217.0,6775.0,10982.0,7658.0,10092.963791654132,5284.690868569091
16,5287.0,6850.0,11130.0,7756.0,10225.863204713978,5348.62382741698
17,5346.0,6922.0,11261.0,7843.0,10344.064706613299,5405.263666158021
18,5426.0,7016.0,11387.0,7943.0,10463.301172479194,5486.514278486439
19,5492.0,7117.0,11545.0,8051.0,10608.92055844847,5557.898733582845
20,5557.0,7215.0,11705.0,8159.0,10756.155880317288,5627.605575313612
21,5657.0,7315.0,11860.0,8277.0,10899.19581966463,5721.250958378079
22,5756.0,7443.0,12060.0,8420.0,11084.646615094267,5822.772443291082
23,5849.0,7529.0,12235.0,8538.0,11240.875675399568,5903.511364438846
24,5924.0,7639.0,12374.0,8646.0,11373.716795539205,5987.299235526328
25,5992.0,7746.0,12514.0,8751.0,11506.737938072729,6064.987604187116
