,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,1643.0,4815.0,5981.0,4146.0,5979.0116157115135,2359.4525711571227
2,1674.0,4890.0,6087.0,4217.0,6080.3909949336985,2400.7911188412277
3,1709.0,5013.0,6242.0,4321.0,6235.127194484909,2455.3908848277233
4,1772.0,5188.0,6445.0,4468.0,6442.44884714697,2543.5966106049163
5,1809.0,5308.0,6584.0,4567.0,6585.5749098477045,2599.536548412313
6,1839.0,5403.0,6689.0,4644.0,6695.514135949348,2644.380060758146
7,1870.0,5492.0,6793.0,4718.0,6800.93100781887,2687.861279723505
8,1902.0,5556.0,6909.0,4789.0,6903.825288292155,2727.723283981503
9,1946.0,5655.0,7014.0,4872.0,7013.862799060668,2784.319076994785
10,1968.0,5748.0,7141.0,4952.0,7137.527606017977,2821.8624855252347
11,2006.0,5825.0,7254.0,5028.0,7243.308010939638,2868.8361373287175
12,2032.0,5910.0,7359.0,5100.0,7348.837088363673,2908.156035140466
13,2072.0,5998.0,7469.0,5180.0,7458.033417226358,2959.5963760294117
14,2113.0,6107.0,7606.0,5275.0,7593.33480110186,3015.418043858579
15,2148.0,6184.0,7729.0,5354.0,7706.867806883052,3060.656835509779
16,2187.0,6272.0,7841.0,5433.0,7816.198183813787,3110.1970387378346
17,2218.0,6347.0,7912.0,5492.0,7893.8396248153895,3151.0276095809704
18,2257.0,6417.0,8013.0,5562.0,7988.345039354461,3197.142686017597
19,2296.0,6514.0,8149.0,5653.0,8118.818728130679,3249.6171965331864
20,2331.0,6595.0,8236.0,5721.0,8209.72127473796,3295.2432544061344
21,2347.0,6679.0,8370.0,5799.0,8335.450587599398,3326.7224747764612
22,2379.0,6762.0,8503.0,5881.0,8457.499482502051,3369.7902384073095
23,2407.0,6854.0,8631.0,5964.0,8581.711341356542,3412.570590172377
24,2451.0,6926.0,8750.0,6042.0,8688.381224112152,3462.677942066122
25,2483.0,7015.0,8862.0,6120.0,8800.009825852634,3507.8495385347087
26,2505.0,7105.0,8950.0,6187.0,8897.105579124178,3545.464525970186
27,2529.0,7177.0,9033.0,6246.0,8981.581519531086,3579.736248634046
28,2558.0,7241.0,9130.0,6310.0,9072.647567702643,3617.252930291552
29,2595.0,7314.0,9233.0,6381.0,9170.156906665525,3662.414822800163
30,2639.0,7412.0,9349.0,6467.0,9286.724144309155,3718.6215649197015
31,2672.0,7484.0,9447.0,6534.0,9380.23217312526,3759.8873322358813
32,2700.0,7546.0,9547.0,6598.0,9472.584535198086,3796.1502701869395
33,2728.0,7605.0,9623.0,6652.0,9546.409899559263,3830.8781959416688
34,2756.0,7689.0,9739.0,6728.0,9658.666932059436,3871.5392120084452
35,2803.0,7809.0,9890.0,6834.0,9808.263045977385,3935.046976349335
36,2840.0,7883.0,9998.0,6907.0,9909.629181234339,3980.399087678677
37,2850.0,7918.0,10081.0,6950.0,9980.41167445393,3996.2687623108327
38,2883.0,7984.0,10155.0,7007.0,10055.049034491843,4036.1805880481593
39,2904.0,8038.0,10252.0,7065.0,10142.749109874509,4065.129937551019
40,2936.0,8099.0,10379.0,7138.0,10251.64770004572,4103.191620546694
41,2959.0,8163.0,10467.0,7196.0,10336.41922626051,4135.149261821036
42,2993.0,8235.0,10560.0,7263.0,10427.800823116679,4178.28242296279
43,3017.0,8316.0,10653.0,7329.0,10523.604239964632,4215.233645498751
44,3048.0,8410.0,10751.0,7403.0,10627.343757521314,4260.298449847117
45,3077.0,8530.0,10878.0,7495.0,10762.753458672589,4309.987906878008
46,3105.0,8601.0,10978.0,7561.0,10858.141426043678,4347.395356842404
47,3137.0,8683.0,11083.0,7634.0,10961.61229462408,4390.696027900375
48,3173.0,8754.0,11187.0,7705.0,11059.785077567067,4435.108677365394
49,3213.0,8841.0,11280.0,7778.0,11156.026938909754,4485.506613522208
50,3242.0,8928.0,11364.0,7845.0,11248.128891182349,4527.988956471638
