,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,4910.0,2155.0,991.0,10377.0,2606.0,4208.0,7545.054594498967,910.887474264543
2,5010.0,2191.0,1002.0,10596.0,2666.0,4293.0,7702.929969955395,923.9089879287844
3,5145.0,2239.0,1024.0,10957.0,2758.0,4425.0,7955.147570097695,937.0829732513894
4,5423.0,2294.0,1049.0,11607.0,2903.0,4655.0,8411.785563040119,943.2316015752517
5,5584.0,2331.0,1064.0,11855.0,2957.0,4758.0,8600.63583581201,961.4095128833083
6,5657.0,2365.0,1077.0,12017.0,3016.0,4826.0,8719.293293173103,979.3828503636032
7,5740.0,2406.0,1092.0,12178.0,3046.0,4892.0,8837.448297299898,993.8524796208194
8,5814.0,2436.0,1112.0,12319.0,3100.0,4956.0,8944.017172313412,1015.7693330585225
9,5889.0,2473.0,1131.0,12472.0,3155.0,5024.0,9058.281596517527,1038.0348960980846
10,5986.0,2519.0,1155.0,12626.0,3213.0,5100.0,9179.485919410272,1069.347863316837
11,6046.0,2559.0,1182.0,12752.0,3257.0,5159.0,9273.232633999523,1094.065488330681
12,6103.0,2604.0,1197.0,12889.0,3300.0,5219.0,9373.699154772421,1114.0113183944122
13,6191.0,2647.0,1214.0,13055.0,3346.0,5291.0,9497.789401273454,1134.5449297061386
14,6313.0,2704.0,1246.0,13312.0,3437.0,5402.0,9687.108757857455,1168.2599558935271
15,6468.0,2750.0,1270.0,13631.0,3538.0,5531.0,9920.7630763706,1193.8590277649091
16,6569.0,2786.0,1285.0,13816.0,3605.0,5612.0,10060.791270296537,1216.5136868615855
17,6629.0,2818.0,1311.0,13969.0,3659.0,5677.0,10170.811941622243,1237.0322047067866
18,6705.0,2852.0,1339.0,14110.0,3717.0,5745.0,10279.090721045031,1265.163527743015
19,6810.0,2906.0,1366.0,14327.0,3799.0,5842.0,10441.147080347255,1297.886314644381
20,6893.0,2937.0,1398.0,14516.0,3845.0,5918.0,10576.11804988524,1315.6457089977157
21,6980.0,2980.0,1423.0,14673.0,3879.0,5987.0,10693.345801149762,1337.0196549314524
22,7048.0,3035.0,1456.0,14809.0,3921.0,6054.0,10796.229746297271,1368.541374637065
23,7134.0,3080.0,1480.0,14949.0,3982.0,6125.0,10906.664061809446,1400.603441909725
24,7218.0,3121.0,1513.0,15119.0,4049.0,6204.0,11034.317091040712,1431.5331047070986
25,7286.0,3166.0,1534.0,15236.0,4096.0,6264.0,11126.345017238767,1459.8405626451731
26,7344.0,3209.0,1556.0,15355.0,4128.0,6318.0,11214.093735486145,1480.5924277931426
27,7418.0,3251.0,1576.0,15509.0,4182.0,6387.0,11328.985164553476,1504.2265194245183
28,7475.0,3288.0,1594.0,15654.0,4232.0,6449.0,11434.232899942255,1523.4244442385943
29,7541.0,3340.0,1608.0,15756.0,4273.0,6504.0,11516.662871834356,1551.3229868621565
30,7622.0,3400.0,1629.0,15914.0,4330.0,6579.0,11636.600537804465,1581.971713584353
31,7683.0,3439.0,1651.0,16038.0,4372.0,6637.0,11729.946913788388,1605.0004651477066
32,7730.0,3468.0,1661.0,16136.0,4410.0,6681.0,11803.08231093566,1620.2622051155995
33,7778.0,3499.0,1672.0,16228.0,4425.0,6720.0,11870.642626572597,1631.092136463917
34,7859.0,3544.0,1685.0,16351.0,4468.0,6781.0,11968.375778432353,1655.7989184699945
