,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,5552.0,5574.0,8944.0,1832.0,5070.0,5394.0,7650.2217680597505,3164.848019917035
2,5658.0,5671.0,9109.0,1865.0,5193.0,5499.0,7796.239945383735,3229.2970001293897
3,5820.0,5900.0,9311.0,1952.0,5478.0,5692.0,8023.960755816158,3387.992022797745
4,6290.0,6222.0,9607.0,2103.0,6028.0,6050.0,8429.862432999016,3698.6399416912936
5,6508.0,6360.0,9813.0,2180.0,6291.0,6230.0,8652.325053882461,3836.7340669734704
6,6596.0,6464.0,9976.0,2214.0,6391.0,6328.0,8790.810948218857,3894.708955138645
7,6676.0,6558.0,10147.0,2249.0,6474.0,6421.0,8926.005502322632,3945.9715470081646
8,6727.0,6640.0,10324.0,2293.0,6558.0,6508.0,9053.425910661448,3993.107525273281
9,6824.0,6726.0,10528.0,2332.0,6635.0,6609.0,9205.608557330119,4043.489672970456
10,6892.0,6797.0,10694.0,2363.0,6691.0,6687.0,9325.452778934403,4080.1947915171268
11,6941.0,6872.0,10874.0,2387.0,6755.0,6766.0,9452.755918699477,4111.397860893556
12,6998.0,6954.0,11047.0,2412.0,6825.0,6847.0,9579.909030075218,4146.84569761044
13,7070.0,7021.0,11239.0,2441.0,6873.0,6929.0,9712.872297119009,4178.444594854331
14,7209.0,7163.0,11448.0,2497.0,7010.0,7065.0,9897.337456354144,4266.632170225215
15,7424.0,7323.0,11629.0,2557.0,7224.0,7231.0,10102.73958893676,4393.701936526313
16,7555.0,7442.0,11817.0,2588.0,7332.0,7347.0,10268.694536851288,4460.272980440628
17,7627.0,7498.0,11955.0,2615.0,7385.0,7416.0,10372.49549297813,4494.912915988133
18,7693.0,7572.0,12109.0,2643.0,7448.0,7493.0,10488.937983336771,4532.942807824082
19,7818.0,7689.0,12323.0,2705.0,7557.0,7618.0,10661.79221805081,4610.70989240856
20,7890.0,7789.0,12477.0,2756.0,7639.0,7710.0,10786.039233603282,4670.8249861519325
21,7956.0,7881.0,12613.0,2786.0,7683.0,7784.0,10893.612156952482,4711.6059519825285
22,8028.0,7958.0,12809.0,2802.0,7751.0,7870.0,11036.234777565724,4741.637371300207
23,8098.0,8046.0,12983.0,2844.0,7813.0,7957.0,11164.864798688788,4787.530031055976
24,8168.0,8127.0,13153.0,2875.0,7873.0,8039.0,11290.825113173625,4826.144402672238
25,8214.0,8212.0,13298.0,2896.0,7921.0,8108.0,11399.141590188223,4856.298798662242
26,8263.0,8276.0,13415.0,2924.0,7956.0,8167.0,11486.523183631449,4887.208920538763
27,8344.0,8352.0,13567.0,2939.0,8024.0,8245.0,11607.957354274162,4922.3431346454245
28,8401.0,8431.0,13705.0,2993.0,8073.0,8321.0,11710.839032559905,4971.71110832346
29,8450.0,8488.0,13846.0,3016.0,8116.0,8383.0,11810.41479349475,4996.657668662272
30,8532.0,8591.0,14005.0,3037.0,8156.0,8464.0,11935.90514943405,5033.700150584843
31,8581.0,8670.0,14147.0,3067.0,8207.0,8534.0,12041.74831860364,5068.310353085325
32,8634.0,8731.0,14287.0,3082.0,8246.0,8596.0,12143.78370253881,5090.706257808396
33,8676.0,8782.0,14393.0,3105.0,8284.0,8648.0,12222.384142758023,5116.424397227884
34,8728.0,8851.0,14526.0,3129.0,8354.0,8718.0,12326.87986315237,5152.293615967543
35,8843.0,8965.0,14736.0,3202.0,8465.0,8842.0,12494.563341910263,5233.205607351358
36,8902.0,9043.0,14866.0,3248.0,8545.0,8921.0,12600.200316191913,5285.839453992004
37,8954.0,9105.0,14996.0,3279.0,8595.0,8986.0,12697.01104372739,5319.409707000745
38,9018.0,9186.0,15109.0,3299.0,8659.0,9054.0,12794.529236173226,5358.293234867531
39,9086.0,9257.0,15235.0,3325.0,8716.0,9124.0,12896.487742414369,5396.669282769937
40,9163.0,9349.0,15354.0,3358.0,8799.0,9205.0,13004.60380390728,5450.853876758659
41,9250.0,9430.0,15493.0,3407.0,8892.0,9294.0,13121.96043170076,5511.933254100996
42,9375.0,9550.0,15628.0,3436.0,9014.0,9401.0,13261.813368536048,5586.377387281453
43,9462.0,9655.0,15793.0,3476.0,9108.0,9499.0,13399.501271204339,5645.1889054545645
44,9596.0,9782.0,15933.0,3519.0,9317.0,9629.0,13558.232936167906,5746.873637798311
45,9868.0,9922.0,16115.0,3589.0,9683.0,9835.0,13796.88534244325,5920.612292426122
46,9985.0,10044.0,16271.0,3626.0,9851.0,9955.0,13954.193251978037,6003.751200337652
47,10156.0,10186.0,16410.0,3671.0,10029.0,10090.0,14118.976379512129,6109.324769845716
48,10247.0,10266.0,16545.0,3689.0,10150.0,10179.0,14244.933824678737,6161.8099447952745
49,10366.0,10368.0,16685.0,3742.0,10315.0,10295.0,14388.523636998652,6250.526464442274
50,10441.0,10439.0,16829.0,3770.0,10384.0,10373.0,14503.10037004752,6292.315496257661
51,10500.0,10534.0,17010.0,3808.0,10464.0,10463.0,14638.132209483512,6337.89527539695
52,10586.0,10612.0,17164.0,3856.0,10558.0,10555.0,14763.555591490585,6396.872187857293
53,10683.0,10715.0,17302.0,3897.0,10646.0,10649.0,14888.279026752858,6460.444415587059
54,10752.0,10793.0,17445.0,3963.0,10733.0,10737.0,15000.513031136023,6524.57294489061
55,10823.0,10876.0,17603.0,3994.0,10801.0,10819.0,15122.646577806623,6566.944153780017
56,10927.0,10994.0,17727.0,4037.0,10913.0,10920.0,15249.353562215341,6642.448656025359
57,11000.0,11069.0,17871.0,4091.0,11007.0,11008.0,15365.738939710209,6702.403235444982
58,11124.0,11176.0,18014.0,4181.0,11139.0,11127.0,15501.476856341415,6804.8898794528595
59,11172.0,11253.0,18146.0,4245.0,11210.0,11205.0,15600.964031548332,6861.708241239971
60,11233.0,11317.0,18288.0,4275.0,11269.0,11276.0,15707.381801048818,6897.738748922626
61,11317.0,11389.0,18419.0,4317.0,11332.0,11355.0,15814.521697073204,6948.863576557624
62,11331.0,11436.0,18491.0,4360.0,11381.0,11400.0,15868.787281429568,6984.708961287239
63,11298.0,11445.0,18488.0,4368.0,11383.0,11396.0,15861.454541999803,6984.074079481971
64,11300.0,11425.0,18545.0,4382.0,11400.0,11410.0,15889.139054178455,6984.553459593615
65,11324.0,11429.0,18588.0,4418.0,11437.0,11439.0,15920.427692897283,7011.2681337242575
66,11353.0,11472.0,18619.0,4434.0,11473.0,11470.0,15956.13862544022,7037.613621570825
67,11351.0,11461.0,18698.0,4471.0,11495.0,11495.0,15994.815036939483,7049.101005340705
