,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,4649.0,4632.0,5142.0,4808.0,5044.511275277381,4577.426003646998
2,4725.0,4724.0,5220.0,4890.0,5123.581356276566,4662.281735173422
3,4840.0,4828.0,5343.0,5004.0,5243.994965224967,4770.030523009541
4,5024.0,5015.0,5549.0,5196.0,5445.635734621468,4952.6851833529245
5,5125.0,5120.0,5673.0,5306.0,5565.516216577436,5053.054880787683
6,5236.0,5208.0,5753.0,5399.0,5649.576668240813,5154.768074704937
7,5324.0,5291.0,5832.0,5482.0,5729.6184901550505,5240.702628517594
8,5420.0,5358.0,5926.0,5568.0,5822.406498868772,5320.03521755432
9,5526.0,5439.0,6021.0,5662.0,5918.324013701409,5412.166255281637
10,5606.0,5533.0,6122.0,5754.0,6016.150561064947,5498.4359211676265
11,5698.0,5602.0,6202.0,5834.0,6097.150147254377,5577.51296329054
12,5797.0,5687.0,6276.0,5920.0,6175.704256254499,5670.770320119506
13,5889.0,5770.0,6362.0,6007.0,6262.680790570325,5757.793191639286
14,6000.0,5887.0,6463.0,6117.0,6366.2018927161935,5874.056720908073
15,6111.0,5982.0,6603.0,6232.0,6499.570551443913,5971.204486234905
16,6219.0,6067.0,6694.0,6327.0,6594.053521477125,6066.657106840201
17,6300.0,6139.0,6773.0,6404.0,6673.073719762199,6141.739378988508
18,6370.0,6214.0,6871.0,6485.0,6765.2748650878275,6211.821852996986
19,6494.0,6312.0,7000.0,6602.0,6893.071583406328,6318.2985136920615
20,6579.0,6378.0,7078.0,6678.0,6972.279204158228,6391.22339342341
21,6674.0,6461.0,7172.0,6769.0,7066.936234788587,6478.607679164892
22,6772.0,6560.0,7264.0,6865.0,7159.8868427041125,6577.631140664599
23,6866.0,6643.0,7339.0,6949.0,7239.186577911522,6666.212391816387
24,6971.0,6731.0,7429.0,7044.0,7333.552960037826,6761.727368260157
25,7049.0,6811.0,7489.0,7116.0,7396.857466816652,6842.305283962858
26,7122.0,6885.0,7553.0,7187.0,7463.516877122054,6917.433369360414
27,7218.0,6954.0,7639.0,7270.0,7552.087900012271,6995.106006110236
28,7320.0,7033.0,7713.0,7355.0,7633.730903680713,7083.378001180013
29,7382.0,7098.0,7783.0,7421.0,7702.006524242172,7147.108719866197
30,7481.0,7183.0,7877.0,7514.0,7798.264401570088,7236.882017111561
31,7564.0,7243.0,7947.0,7585.0,7872.778126340415,7304.457262056859
32,7642.0,7318.0,8022.0,7661.0,7948.709778538489,7380.52387924961
33,7707.0,7379.0,8079.0,7722.0,8007.961972996411,7443.227429259442
34,7777.0,7455.0,8165.0,7799.0,8089.273434310939,7516.076453200987
35,7889.0,7553.0,8286.0,7909.0,8208.591249315908,7617.0458525583135
36,7991.0,7624.0,8355.0,7990.0,8288.430338046699,7699.126086880701
37,8059.0,7674.0,8418.0,8050.0,8353.798590077922,7753.945044277825
38,8126.0,7734.0,8490.0,8117.0,8425.706305950062,7816.058996982362
39,8189.0,7805.0,8563.0,8186.0,8495.46122535788,7884.323192600863
40,8281.0,7881.0,8633.0,8265.0,8572.211110910179,7965.5676481518185
41,8370.0,7948.0,8701.0,8340.0,8648.158373784217,8039.593055166753
42,8443.0,8035.0,8795.0,8424.0,8734.549378789698,8121.3651897162945
43,8543.0,8114.0,8887.0,8515.0,8831.211295391757,8206.744038506624
44,8652.0,8197.0,8971.0,8607.0,8924.60601904456,8297.384630115734
45,8768.0,8292.0,9121.0,8727.0,9066.677297838209,8395.923523437057
46,8840.0,8378.0,9217.0,8812.0,9155.105790294092,8477.530528679079
47,8908.0,8470.0,9315.0,8898.0,9243.04721899087,8561.638258137811
48,8994.0,8545.0,9400.0,8980.0,9329.19944158031,8639.5911723469
49,9109.0,8634.0,9521.0,9088.0,9450.420566009529,8734.756127677587
50,9220.0,8701.0,9600.0,9174.0,9542.47467122359,8814.804003176832
51,9321.0,8774.0,9689.0,9261.0,9636.922310236216,8894.647540699338
52,9439.0,8868.0,9776.0,9361.0,9735.770151781951,8995.719240400847
53,9554.0,8953.0,9880.0,9462.0,9845.956920326573,9087.816371762072
54,9641.0,9028.0,9961.0,9543.0,9930.105821018835,9165.747203123381
55,9748.0,9110.0,10028.0,9629.0,10013.153940497816,9254.521742428149
56,9846.0,9186.0,10119.0,9717.0,10108.665673757607,9335.251522596356
57,9920.0,9269.0,10199.0,9796.0,10185.663957789273,9416.202553984363
58,10058.0,9345.0,10310.0,9904.0,10312.669691397181,9505.729342828028
59,10166.0,9436.0,10383.0,9995.0,10400.078593197255,9600.178225862182
