,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,6279.0,5104.0,2007.0,3517.0,2782.0,2387.0,3679.0,5211.227432453128,2160.5508297725773
2,6368.0,5152.0,2041.0,3563.0,2830.0,2444.0,3733.0,5278.179601211457,2201.6787917431748
3,6512.0,5240.0,2094.0,3623.0,2891.0,2496.0,3809.0,5384.673582343513,2247.494339402687
4,6725.0,5371.0,2152.0,3719.0,2959.0,2561.0,3914.0,5542.387326686831,2300.2713890095138
5,6814.0,5450.0,2189.0,3778.0,3007.0,2607.0,3974.0,5620.8452091368945,2341.9430194778424
6,6970.0,5558.0,2219.0,3822.0,3052.0,2653.0,4046.0,5736.784306595188,2370.3439443799375
7,7030.0,5608.0,2264.0,3856.0,3100.0,2702.0,4093.0,5788.26465134363,2412.975857911234
8,7129.0,5677.0,2304.0,3919.0,3149.0,2747.0,4154.0,5868.523882265028,2454.871342253438
9,7191.0,5727.0,2357.0,3967.0,3213.0,2802.0,4210.0,5925.458136780848,2509.8733866364432
10,7267.0,5780.0,2390.0,4031.0,3272.0,2849.0,4265.0,5990.72278853156,2554.736839142787
11,7343.0,5824.0,2429.0,4082.0,3317.0,2890.0,4314.0,6050.076748358342,2593.5117793204504
12,7418.0,5879.0,2469.0,4118.0,3373.0,2932.0,4365.0,6111.729460885059,2633.9185712517924
13,7551.0,5980.0,2516.0,4166.0,3423.0,2980.0,4436.0,6215.164878999883,2672.792079016474
14,7679.0,6065.0,2562.0,4224.0,3493.0,3033.0,4509.0,6314.219350871773,2720.007319267898
15,7905.0,6230.0,2615.0,4311.0,3568.0,3091.0,4620.0,6488.304757438322,2768.4516775206243
16,8033.0,6329.0,2661.0,4360.0,3625.0,3145.0,4692.0,6589.758891304111,2811.2797297839584
17,8116.0,6380.0,2693.0,4390.0,3678.0,3180.0,4740.0,6653.161768481942,2843.942918103854
18,8242.0,6461.0,2731.0,4453.0,3723.0,3241.0,4808.0,6748.6799373022895,2884.7796665594715
19,8344.0,6524.0,2777.0,4499.0,3764.0,3292.0,4867.0,6826.418937192497,2925.1186420134945
20,8456.0,6583.0,2812.0,4577.0,3812.0,3350.0,4932.0,6911.980026354282,2969.7419609876615
21,8541.0,6651.0,2863.0,4617.0,3861.0,3392.0,4988.0,6982.157621415023,3011.6735002650307
22,8604.0,6699.0,2895.0,4675.0,3922.0,3444.0,5040.0,7039.406864428501,3058.5073786212347
23,8684.0,6753.0,2926.0,4748.0,4002.0,3495.0,5101.0,7109.700385347511,3110.351263922069
24,8760.0,6814.0,2965.0,4788.0,4073.0,3533.0,5156.0,7175.929937493118,3154.132330769002
25,8817.0,6859.0,2996.0,4823.0,4120.0,3582.0,5200.0,7225.62902634736,3192.484355865863
26,8941.0,6926.0,3041.0,4884.0,4158.0,3628.0,5263.0,7315.170720643549,3229.234769717812
27,8993.0,6978.0,3085.0,4923.0,4211.0,3647.0,5306.0,7364.332207441374,3266.146562211084
28,9073.0,7017.0,3118.0,4968.0,4267.0,3688.0,5355.0,7424.7157154684655,3303.865150491732
29,9158.0,7070.0,3145.0,5024.0,4305.0,3715.0,5403.0,7491.70242244409,3333.0126938298476
30,9223.0,7116.0,3192.0,5075.0,4373.0,3750.0,5455.0,7548.643668231012,3380.1157650451096
31,9299.0,7178.0,3226.0,5128.0,4433.0,3795.0,5510.0,7615.646332172257,3423.220750491674
32,9355.0,7220.0,3264.0,5158.0,4473.0,3835.0,5551.0,7662.379282883698,3458.5392174186263
33,9396.0,7255.0,3292.0,5196.0,4518.0,3862.0,5586.0,7700.591990364639,3490.427394787926
34,9497.0,7348.0,3351.0,5252.0,4569.0,3909.0,5654.0,7788.086355194788,3539.089854768482
35,9586.0,7429.0,3403.0,5322.0,4649.0,3972.0,5727.0,7871.597664564881,3601.6187644694983
