,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,4256.0,6147.0,6494.0,3461.0,8554.0,5782.0,7573.0817587889915,4012.417288407849
2,4326.0,6260.0,6612.0,3506.0,8710.0,5883.0,7712.747350501339,4075.142482866864
3,4417.0,6368.0,6753.0,3563.0,9016.0,6023.0,7933.016195393816,4135.907267935684
4,4593.0,6518.0,6988.0,3644.0,9620.0,6273.0,8347.015396921312,4223.775807301074
5,4689.0,6604.0,7119.0,3699.0,9835.0,6389.0,8514.094860627794,4289.380392670419
6,4741.0,6719.0,7224.0,3751.0,9986.0,6484.0,8646.13629696804,4347.782582363296
7,4805.0,6839.0,7337.0,3809.0,10095.0,6577.0,8759.85940912373,4420.2835628028915
8,4865.0,6964.0,7454.0,3868.0,10226.0,6675.0,8886.574612502745,4489.960459649747
9,4936.0,7088.0,7591.0,3949.0,10351.0,6783.0,9015.464019866838,4577.273040685312
10,5027.0,7188.0,7707.0,4021.0,10468.0,6882.0,9129.665581590523,4661.277637532602
11,5081.0,7302.0,7810.0,4079.0,10576.0,6970.0,9239.152323372467,4727.97593461955
12,5167.0,7413.0,7916.0,4126.0,10700.0,7064.0,9357.410270027294,4798.104905346612
13,5248.0,7520.0,8019.0,4186.0,10808.0,7156.0,9465.793619929424,4873.893674419136
14,5340.0,7657.0,8156.0,4255.0,10993.0,7280.0,9629.89782047362,4958.269781040959
15,5464.0,7774.0,8306.0,4317.0,11218.0,7416.0,9815.565495390085,5045.148753782672
16,5539.0,7871.0,8426.0,4363.0,11369.0,7514.0,9949.144485788609,5107.9717742128705
17,5607.0,7954.0,8526.0,4425.0,11484.0,7599.0,10053.421269192937,5173.998155339623
18,5666.0,8056.0,8637.0,4476.0,11593.0,7686.0,10163.516875152754,5238.106856968141
19,5758.0,8172.0,8782.0,4544.0,11748.0,7801.0,10309.414193602537,5322.603679851927
20,5858.0,8286.0,8889.0,4595.0,11880.0,7902.0,10434.204309819148,5400.074385325806
21,5956.0,8413.0,9011.0,4656.0,11989.0,8005.0,10553.134925783954,5487.382761040757
22,6032.0,8572.0,9128.0,4721.0,12099.0,8110.0,10677.695205172658,5573.104938544441
23,6120.0,8702.0,9247.0,4782.0,12213.0,8213.0,10799.916575126972,5657.041480545851
24,6190.0,8818.0,9383.0,4855.0,12335.0,8316.0,10925.262379805194,5738.01149622405
25,6256.0,8930.0,9485.0,4896.0,12423.0,8398.0,11025.446897655593,5802.020667409292
26,6320.0,9020.0,9593.0,4959.0,12500.0,8478.0,11114.42930242149,5873.194033902177
27,6400.0,9129.0,9712.0,5028.0,12604.0,8575.0,11226.20196640442,5955.501901909153
28,6479.0,9220.0,9801.0,5092.0,12691.0,8657.0,11316.013701857639,6029.78372355649
29,6537.0,9333.0,9897.0,5138.0,12787.0,8738.0,11417.406924426872,6090.7311325663595
30,6622.0,9442.0,10014.0,5205.0,12908.0,8838.0,11536.964128451258,6171.384058793122
31,6688.0,9557.0,10113.0,5273.0,12991.0,8924.0,11632.667396833112,6247.821097648593
32,6732.0,9660.0,10214.0,5336.0,13082.0,9005.0,11730.462339983194,6312.155006296978
33,6796.0,9775.0,10321.0,5378.0,13168.0,9088.0,11832.303967614862,6376.514935036388
34,6881.0,9897.0,10423.0,5443.0,13285.0,9186.0,11948.627909557614,6456.434549429511
35,6972.0,10052.0,10571.0,5519.0,13450.0,9313.0,12110.076003019343,6549.399022875761
36,7056.0,10168.0,10686.0,5572.0,13573.0,9411.0,12232.519590575263,6623.272282203402
37,7117.0,10274.0,10794.0,5635.0,13674.0,9499.0,12338.461034539243,6693.521614844793
38,7172.0,10362.0,10868.0,5680.0,13773.0,9571.0,12429.66318407748,6746.573538203687
39,7225.0,10447.0,10958.0,5730.0,13849.0,9642.0,12513.388612965278,6804.976416428042
40,7303.0,10583.0,11077.0,5795.0,13977.0,9747.0,12643.623413562764,6885.067938645377
41,7366.0,10702.0,11177.0,5837.0,14129.0,9842.0,12776.988750688266,6942.186180760915
42,7430.0,10781.0,11289.0,5896.0,14261.0,9931.0,12892.478999869265,7005.0372879210845
43,7494.0,10885.0,11405.0,5937.0,14384.0,10021.0,13013.073060605306,7064.761442385982
44,7560.0,10971.0,11521.0,5981.0,14591.0,10125.0,13170.050043376408,7116.394838688744
45,7663.0,11101.0,11642.0,6039.0,14908.0,10271.0,13394.517162857708,7184.8433793229415
46,7734.0,11208.0,11748.0,6091.0,15040.0,10364.0,13515.767657468847,7250.003522249121
47,7826.0,11294.0,11852.0,6126.0,15223.0,10464.0,13659.021528357307,7307.267680485075
48,7881.0,11379.0,11943.0,6170.0,15348.0,10544.0,13767.547326574664,7359.083520922608
49,7988.0,11478.0,12057.0,6217.0,15510.0,10650.0,13906.457154639073,7432.543739151037
50,8061.0,11595.0,12141.0,6269.0,15637.0,10741.0,14022.503171820295,7498.749486733286
51,8145.0,11724.0,12268.0,6336.0,15771.0,10849.0,14156.08496514176,7581.4981729522715
52,8224.0,11820.0,12385.0,6388.0,15940.0,10951.0,14296.418817826352,7645.695717757921
53,8312.0,11955.0,12511.0,6445.0,16085.0,11062.0,14438.589028393397,7725.8024240729155
54,8397.0,12058.0,12607.0,6513.0,16243.0,11164.0,14568.873428876126,7799.856771162071
55,8481.0,12137.0,12724.0,6575.0,16374.0,11258.0,14685.461767353017,7871.611257385484
56,8553.0,12239.0,12842.0,6633.0,16481.0,11350.0,14797.226227950041,7944.011209561438
57,8619.0,12323.0,12948.0,6694.0,16596.0,11436.0,14903.580309091629,8009.949096922786
58,8695.0,12413.0,13069.0,6744.0,16747.0,11534.0,15035.664042518452,8074.225368418141
59,8749.0,12508.0,13191.0,6791.0,16875.0,11623.0,15156.651166522619,8131.645437170713
60,8810.0,12622.0,13281.0,6846.0,16976.0,11707.0,15259.435558880696,8197.110114330677
61,8892.0,12726.0,13399.0,6907.0,17121.0,11809.0,15390.196057185363,8270.694065557038
62,8915.0,12743.0,13420.0,6911.0,17186.0,11835.0,15433.390362370375,8279.705687623169
63,8918.0,12739.0,13411.0,6882.0,17174.0,11825.0,15426.291180488835,8266.81551248406
64,8934.0,12725.0,13431.0,6891.0,17144.0,11825.0,15413.404492250003,8279.571962170354
65,8954.0,12718.0,13446.0,6889.0,17153.0,11832.0,15421.405688968578,8285.582756264195
66,8972.0,12717.0,13462.0,6901.0,17212.0,11853.0,15455.130559358817,8293.986186418388
67,8978.0,12737.0,13496.0,6894.0,17216.0,11864.0,15472.305775106464,8298.93312428835
68,8952.0,12719.0,13479.0,6872.0,17148.0,11834.0,15429.975917605678,8281.091215838573
69,8938.0,12712.0,13509.0,6851.0,17136.0,11829.0,15431.907238143478,8269.26700578098
70,8945.0,12713.0,13502.0,6836.0,17152.0,11830.0,15440.047571247042,8263.139892906056
71,8942.0,12670.0,13520.0,6826.0,17304.0,11852.0,15509.989265520973,8237.868763935305
72,8985.0,12717.0,13591.0,6840.0,17337.0,11894.0,15559.74914580908,8272.153625303145
73,8988.0,12735.0,13605.0,6862.0,17287.0,11895.0,15541.507955108102,8292.212568658422
74,8972.0,12726.0,13608.0,6844.0,17177.0,11865.0,15486.508065249429,8286.9130478247
75,8949.0,12729.0,13583.0,6815.0,17142.0,11844.0,15464.718584296032,8266.596681036392
76,8946.0,12710.0,13604.0,6814.0,17150.0,11845.0,15469.927387778502,8263.462383759976
77,8944.0,12717.0,13642.0,6813.0,17138.0,11851.0,15477.074980839016,8268.32853482488
78,8939.0,12713.0,13652.0,6810.0,17151.0,11853.0,15485.300923657069,8264.2012554935
79,8955.0,12710.0,13659.0,6802.0,17171.0,11859.0,15497.35153148602,8264.271307032392
80,8952.0,12692.0,13637.0,6806.0,17193.0,11856.0,15497.157563193332,8258.450687322986
81,8979.0,12656.0,13682.0,6811.0,17323.0,11890.0,15566.56553955817,8257.490871545175
82,8974.0,12651.0,13690.0,6811.0,17310.0,11887.0,15561.092509269012,8256.934283636368
83,8958.0,12600.0,13652.0,6796.0,17269.0,11855.0,15517.83278351606,8236.035059841663
84,8933.0,12565.0,13648.0,6780.0,17275.0,11840.0,15511.184082372698,8212.80787781593
85,8942.0,12530.0,13673.0,6798.0,17325.0,11854.0,15534.773215870093,8217.26129258362
