,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,3944.0,5914.0,3219.0,3221.0,5711.0,4402.0,5585.523454210632,3232.62689111493
2,4028.0,6051.0,3284.0,3285.0,5828.0,4495.0,5707.166228974667,3297.3753522717398
3,4123.0,6202.0,3354.0,3446.0,5954.0,4616.0,5841.580093941912,3405.073941935466
4,4227.0,6338.0,3422.0,3691.0,6076.0,4751.0,5970.72216781801,3545.8617107179334
5,4295.0,6448.0,3475.0,3788.0,6192.0,4840.0,6079.39673497499,3615.3986733582005
6,4371.0,6562.0,3518.0,3863.0,6305.0,4924.0,6188.7980734752355,3674.3256557907066
7,4450.0,6679.0,3566.0,3936.0,6398.0,5006.0,6291.6304938304265,3735.7427345219767
8,4511.0,6801.0,3620.0,3985.0,6507.0,5085.0,6400.480203829258,3785.2505190064358
9,4603.0,6919.0,3693.0,4053.0,6597.0,5173.0,6503.112175720529,3858.817886070797
10,4671.0,7034.0,3772.0,4119.0,6678.0,5255.0,6598.176148785657,3927.886274006116
11,4745.0,7136.0,3817.0,4179.0,6767.0,5329.0,6691.555894877956,3982.7386290722975
12,4808.0,7269.0,3878.0,4231.0,6867.0,5411.0,6802.272606884311,4036.3417403861913
13,4887.0,7389.0,3940.0,4298.0,6989.0,5501.0,6918.011879507954,4100.910733734333
14,4981.0,7529.0,4020.0,4395.0,7132.0,5611.0,7053.151263448694,4186.16882374365
15,5068.0,7643.0,4090.0,4527.0,7282.0,5722.0,7180.9726522454075,4280.500704458161
16,5143.0,7745.0,4137.0,4609.0,7407.0,5808.0,7289.947153803625,4343.825453534831
17,5210.0,7825.0,4179.0,4659.0,7499.0,5874.0,7373.14451160209,4392.858154264295
18,5289.0,7943.0,4235.0,4712.0,7606.0,5957.0,7481.79047740993,4450.471145156459
19,5366.0,8061.0,4305.0,4804.0,7720.0,6051.0,7593.621848239764,4526.877428405011
20,5477.0,8157.0,4372.0,4881.0,7849.0,6147.0,7705.151779085294,4607.53349147581
21,5547.0,8282.0,4447.0,4917.0,7945.0,6228.0,7810.494697200173,4664.409818194733
22,5631.0,8426.0,4529.0,4963.0,8081.0,6326.0,7942.170040558852,4729.185987512575
23,5744.0,8548.0,4593.0,5041.0,8185.0,6422.0,8055.409368978477,4808.177222649056
24,5828.0,8651.0,4643.0,5114.0,8302.0,6508.0,8162.977059256915,4872.79553988298
25,5896.0,8751.0,4699.0,5157.0,8384.0,6577.0,8250.234552197231,4923.853100024142
26,5971.0,8861.0,4766.0,5182.0,8482.0,6652.0,8349.659408322725,4974.720767757052
27,6039.0,8970.0,4824.0,5262.0,8569.0,6733.0,8445.590017098857,5040.896683751858
