,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,9726.0,4026.0,5053.0,3628.0,1199.0,4726.0,7527.508926751201,1958.091482535126
2,9846.0,4075.0,5117.0,3697.0,1219.0,4791.0,7623.948175782018,1991.9564724783663
3,10034.0,4156.0,5204.0,3782.0,1245.0,4884.0,7768.843456180364,2033.7309111448726
4,10409.0,4243.0,5356.0,3903.0,1273.0,5037.0,8038.474065632863,2071.448929600776
5,10587.0,4325.0,5453.0,3975.0,1302.0,5128.0,8178.206528526662,2114.3724027981943
6,10828.0,4423.0,5604.0,4052.0,1338.0,5249.0,8368.688189547154,2166.674693476028
7,10969.0,4498.0,5708.0,4120.0,1366.0,5332.0,8488.288986557895,2213.536342767992
8,11111.0,4561.0,5781.0,4180.0,1391.0,5405.0,8599.525593365415,2248.709479652138
9,11259.0,4633.0,5860.0,4252.0,1426.0,5486.0,8717.141284438054,2293.556414340412
10,11474.0,4705.0,5995.0,4332.0,1459.0,5593.0,8885.913178327057,2339.524330299467
11,11613.0,4766.0,6084.0,4396.0,1490.0,5670.0,8998.763639351204,2381.079132953012
12,11716.0,4827.0,6151.0,4470.0,1510.0,5735.0,9088.229214752053,2421.906569028945
13,11907.0,4907.0,6283.0,4544.0,1537.0,5836.0,9243.948219481434,2468.8188057265875
14,12095.0,4992.0,6397.0,4634.0,1585.0,5941.0,9395.366434914898,2527.956517146178
15,12348.0,5068.0,6527.0,4711.0,1614.0,6054.0,9584.654594642001,2565.5820210766483
16,12531.0,5140.0,6623.0,4780.0,1638.0,6142.0,9725.17583529844,2601.786192572347
17,12686.0,5216.0,6719.0,4838.0,1665.0,6225.0,9850.57600481174,2642.8215348757076
18,12902.0,5314.0,6825.0,4898.0,1703.0,6328.0,10013.870462545674,2686.3214855216706
19,13103.0,5400.0,6965.0,4958.0,1740.0,6433.0,10175.696536812284,2735.151890861369
20,13290.0,5477.0,7082.0,5039.0,1782.0,6534.0,10325.506771720182,2787.902133076149
21,13397.0,5544.0,7162.0,5097.0,1797.0,6599.0,10418.895426142797,2824.9016692778905
22,13531.0,5629.0,7258.0,5171.0,1831.0,6684.0,10535.355293919272,2878.7703855026543
23,13776.0,5743.0,7418.0,5262.0,1894.0,6819.0,10732.982609397577,2951.8449267906885
24,13986.0,5811.0,7542.0,5356.0,1927.0,6924.0,10896.937687236821,2998.692315823082
25,14093.0,5869.0,7610.0,5409.0,1952.0,6987.0,10986.36488291162,3035.4852324000763
26,14225.0,5941.0,7690.0,5465.0,1968.0,7058.0,11094.304023071933,3070.0125925353855
27,14427.0,5993.0,7789.0,5544.0,2010.0,7153.0,11244.466762258575,3110.48640940221
28,14646.0,6068.0,7888.0,5618.0,2044.0,7253.0,11406.812822777003,3148.9111346248455
29,14764.0,6139.0,7958.0,5681.0,2066.0,7322.0,11505.43794822711,3188.616714534388
30,14921.0,6219.0,8026.0,5760.0,2087.0,7403.0,11628.390238388245,3228.166865151108
31,15064.0,6279.0,8098.0,5812.0,2118.0,7474.0,11737.202571619917,3261.8796861945193
32,15159.0,6340.0,8150.0,5854.0,2132.0,7527.0,11815.344109327048,3290.0151578768955
33,15252.0,6403.0,8217.0,5897.0,2142.0,7582.0,11896.04661155471,3319.644578888846
34,15365.0,6465.0,8304.0,5971.0,2165.0,7654.0,11995.828002120765,3364.17181385237
35,15521.0,6548.0,8422.0,6067.0,2201.0,7752.0,12131.696401197994,3424.732846371021
36,15653.0,6609.0,8517.0,6121.0,2229.0,7826.0,12240.837094012266,3464.013015362456
37,15767.0,6660.0,8589.0,6182.0,2247.0,7889.0,12334.432217456477,3496.808412323394
38,15902.0,6721.0,8669.0,6232.0,2271.0,7959.0,12441.496313439644,3530.1882137422863
39,16121.0,6806.0,8795.0,6302.0,2289.0,8063.0,12612.4490508925,3567.9891366299935
40,16291.0,6873.0,8888.0,6379.0,2312.0,8149.0,12746.171507205998,3606.8382273728985
41,16430.0,6952.0,8985.0,6432.0,2345.0,8229.0,12861.69534576435,3651.7639386106457
42,16611.0,7037.0,9077.0,6487.0,2386.0,8320.0,13000.428684070153,3695.578178443904
43,16828.0,7139.0,9231.0,6593.0,2426.0,8443.0,13181.277605487743,3761.518476029659
44,16981.0,7196.0,9315.0,6659.0,2461.0,8522.0,13300.039249176032,3801.2330368814537
45,17162.0,7261.0,9423.0,6726.0,2483.0,8611.0,13442.294940282574,3837.5669666570657
46,17293.0,7322.0,9489.0,6800.0,2513.0,8683.0,13546.09871035605,3878.1922886571238
47,17456.0,7385.0,9570.0,6855.0,2545.0,8762.0,13669.593439422897,3913.206352746517
48,17698.0,7487.0,9694.0,6921.0,2577.0,8875.0,13853.46468970773,3956.207987675659
49,17844.0,7564.0,9774.0,6991.0,2596.0,8954.0,13972.249352778981,3995.827511455491
50,18001.0,7617.0,9866.0,7047.0,2614.0,9029.0,14094.010286267936,4024.6507078247187
51,18112.0,7681.0,9932.0,7135.0,2637.0,9099.0,14189.25581544451,4069.755726144055
52,18398.0,7795.0,10089.0,7212.0,2684.0,9236.0,14408.458087473176,4125.441555460308
53,18700.0,7907.0,10266.0,7308.0,2740.0,9384.0,14641.372363326253,4189.616549132191
54,18891.0,7982.0,10389.0,7378.0,2772.0,9482.0,14793.362260914488,4234.297357639077
55,19032.0,8053.0,10475.0,7430.0,2797.0,9557.0,14906.805479329754,4271.314553667292
56,19246.0,8148.0,10613.0,7517.0,2833.0,9671.0,15079.98284954451,4326.845920053876
57,19427.0,8228.0,10737.0,7591.0,2868.0,9770.0,15228.13423860816,4377.259094434439
58,19618.0,8300.0,10861.0,7673.0,2920.0,9874.0,15380.354462497548,4433.640476292578
