,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,3623.0,4153.0,1346.0,5556.0,1117.0,3159.0,4856.3905855754,1481.9381787241855
2,3701.0,4207.0,1368.0,5682.0,1144.0,3220.0,4952.434895361632,1508.361768722178
3,3769.0,4271.0,1407.0,5816.0,1170.0,3287.0,5054.060232891529,1541.0547283918802
4,3878.0,4366.0,1437.0,5967.0,1215.0,3373.0,5182.694412509103,1584.931156262699
5,3951.0,4448.0,1465.0,6063.0,1239.0,3433.0,5271.5923329184925,1616.4516284779575
6,4016.0,4503.0,1486.0,6152.0,1258.0,3483.0,5347.761861471861,1640.571421556139
7,4094.0,4580.0,1505.0,6243.0,1276.0,3540.0,5435.34404968245,1667.3073004221033
8,4155.0,4651.0,1525.0,6341.0,1300.0,3594.0,5518.638944494958,1692.4596479231068
9,4227.0,4734.0,1556.0,6465.0,1317.0,3660.0,5622.623490806799,1720.857731053792
10,4294.0,4800.0,1592.0,6574.0,1344.0,3721.0,5711.725939617672,1754.091850669715
11,4370.0,4879.0,1615.0,6657.0,1366.0,3777.0,5794.305992324086,1783.9024252971344
12,4450.0,4935.0,1638.0,6762.0,1397.0,3836.0,5881.785782203667,1814.7637230970838
13,4534.0,5002.0,1666.0,6875.0,1412.0,3898.0,5978.762400339516,1842.1337098508948
14,4594.0,5094.0,1696.0,7019.0,1441.0,3969.0,6091.077417689248,1872.31350099374
15,4667.0,5163.0,1731.0,7164.0,1466.0,4038.0,6199.970158597631,1901.9467309807828
16,4729.0,5225.0,1754.0,7271.0,1483.0,4092.0,6286.020206531076,1924.3046256056164
17,4798.0,5282.0,1775.0,7362.0,1498.0,4143.0,6365.240131038948,1947.374483313739
18,4874.0,5361.0,1804.0,7488.0,1528.0,4211.0,6469.005137283793,1980.0378159487627
19,4941.0,5430.0,1827.0,7590.0,1549.0,4267.0,6555.68072624092,2005.7778058405215
20,5020.0,5499.0,1849.0,7685.0,1567.0,4324.0,6642.966838917711,2032.806220911611
21,5088.0,5579.0,1875.0,7776.0,1592.0,4382.0,6728.0447566063185,2064.0526013610356
22,5171.0,5655.0,1913.0,7916.0,1617.0,4454.0,6839.254004643251,2097.3611354910904
23,5262.0,5731.0,1949.0,8037.0,1644.0,4525.0,6944.408412539451,2134.519384678101
24,5343.0,5807.0,1972.0,8156.0,1664.0,4588.0,7044.820764049886,2160.6514940266525
25,5399.0,5873.0,1997.0,8254.0,1690.0,4643.0,7126.758496043178,2188.9399887320633
26,5462.0,5938.0,2022.0,8335.0,1713.0,4694.0,7200.798196903772,2217.224421416695
27,5527.0,6022.0,2034.0,8449.0,1747.0,4756.0,7297.606217860404,2244.8091792157
28,5604.0,6084.0,2062.0,8569.0,1765.0,4817.0,7394.087147666269,2270.753186063216
29,5660.0,6136.0,2083.0,8677.0,1771.0,4865.0,7476.174805842509,2285.1460704843116
30,5733.0,6207.0,2120.0,8814.0,1785.0,4932.0,7583.343162751036,2312.3864966722144
31,5789.0,6278.0,2143.0,8924.0,1801.0,4987.0,7672.099104316263,2334.0589312452275
32,5849.0,6340.0,2164.0,9001.0,1820.0,5035.0,7743.270401320124,2359.1410460475163
33,5919.0,6399.0,2201.0,9074.0,1844.0,5087.0,7813.014722386266,2393.681532008062
34,5998.0,6486.0,2224.0,9183.0,1866.0,5151.0,7911.985741844146,2423.1293422950853
35,6081.0,6572.0,2264.0,9303.0,1895.0,5223.0,8017.051896440007,2462.411010050831
36,6148.0,6639.0,2283.0,9408.0,1925.0,5281.0,8105.136021275652,2490.6389884355162
37,6206.0,6693.0,2305.0,9478.0,1936.0,5324.0,8170.074676930784,2511.9630806684777
38,6249.0,6751.0,2328.0,9588.0,1957.0,5375.0,8251.579681960273,2532.823418245363
39,6305.0,6809.0,2346.0,9664.0,1966.0,5418.0,8319.849548133052,2550.904394770937
40,6380.0,6873.0,2367.0,9779.0,1980.0,5476.0,8414.45302270883,2572.7152022561404
41,6427.0,6926.0,2392.0,9866.0,2007.0,5524.0,8484.158419184127,2599.245660158639
42,6485.0,6992.0,2416.0,9969.0,2018.0,5576.0,8568.48224723222,2619.3571563744963
43,6544.0,7058.0,2450.0,10071.0,2043.0,5633.0,8652.138249015217,2650.0444972289724
44,6609.0,7111.0,2484.0,10176.0,2060.0,5688.0,8735.730762386993,2676.7703239532257
45,6663.0,7178.0,2507.0,10321.0,2097.0,5753.0,8839.363583032087,2703.6242860888256
46,6722.0,7237.0,2531.0,10390.0,2120.0,5800.0,8905.218639645202,2731.9709491038298
47,6778.0,7314.0,2552.0,10466.0,2144.0,5851.0,8979.040051960119,2760.398758293046
48,6832.0,7366.0,2572.0,10536.0,2154.0,5892.0,9042.176376014524,2779.5516481623117
49,6904.0,7426.0,2592.0,10632.0,2180.0,5947.0,9125.012864458964,2807.0244441892887
50,6964.0,7489.0,2627.0,10710.0,2205.0,5999.0,9196.175816247833,2840.115095782178
51,7039.0,7563.0,2668.0,10816.0,2242.0,6066.0,9288.409574629934,2882.135350603959
52,7105.0,7648.0,2700.0,10888.0,2263.0,6121.0,9364.815001917752,2916.0103847207693
53,7154.0,7702.0,2730.0,11009.0,2283.0,6176.0,9452.382558045789,2938.8087735763743
54,7221.0,7760.0,2760.0,11126.0,2299.0,6233.0,9543.208659082788,2962.4600861388208
55,7279.0,7841.0,2786.0,11218.0,2327.0,6290.0,9626.234129473929,2993.7463092758044
56,7339.0,7891.0,2811.0,11287.0,2356.0,6337.0,9689.684203241735,3024.445053219758
57,7385.0,7954.0,2830.0,11389.0,2368.0,6385.0,9769.555830041318,3041.0033325932964
58,7434.0,8005.0,2856.0,11510.0,2397.0,6440.0,9855.642409074268,3065.3131579840883
59,7492.0,8061.0,2890.0,11589.0,2423.0,6491.0,9925.307208157126,3097.8237032313837
60,7532.0,8117.0,2906.0,11668.0,2430.0,6531.0,9991.202055757245,3112.190786503139
61,7590.0,8179.0,2929.0,11764.0,2460.0,6584.0,10069.824474448858,3139.97162674807
62,7627.0,8190.0,2941.0,11804.0,2460.0,6604.0,10102.349020133164,3147.5970810409617
63,7631.0,8184.0,2947.0,11794.0,2459.0,6603.0,10097.049169659751,3150.79724013231
64,7630.0,8168.0,2932.0,11811.0,2461.0,6600.0,10100.27397022957,3141.6951850718515
65,7654.0,8156.0,2951.0,11796.0,2458.0,6603.0,10095.901029230574,3151.931629880669
66,7661.0,8162.0,2953.0,11815.0,2471.0,6612.0,10108.00547291715,3157.912560809439
67,7693.0,8160.0,2970.0,11843.0,2478.0,6629.0,10129.883740809835,3170.0204244622
68,7692.0,8130.0,2960.0,11780.0,2463.0,6605.0,10090.11141859195,3161.6279484037327
69,7701.0,8115.0,2962.0,11777.0,2466.0,6604.0,10086.345957349251,3163.384386797683
70,7708.0,8110.0,2969.0,11746.0,2460.0,6599.0,10072.120537307432,3167.4270228954724
71,7680.0,8090.0,2971.0,11652.0,2455.0,6570.0,10012.535383502494,3168.645874201843
72,7722.0,8116.0,2990.0,11726.0,2463.0,6603.0,10066.51923145616,3181.0097314328273
73,7755.0,8115.0,2984.0,11771.0,2472.0,6619.0,10097.000843396487,3182.7015582356557
74,7742.0,8100.0,2984.0,11741.0,2471.0,6608.0,10075.213674792292,3182.2631419868253
75,7749.0,8095.0,2997.0,11715.0,2465.0,6604.0,10062.271152854655,3187.170859875747
