,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,2174.0,4738.0,6211.0,3219.0,5875.0,4443.0,5986.373534393624,2918.158839608107
2,2208.0,4853.0,6350.0,3292.0,5987.0,4538.0,6116.834126816367,2978.074748433057
3,2254.0,4999.0,6502.0,3401.0,6126.0,4656.0,6270.366335955587,3061.0162821053764
4,2307.0,5207.0,6726.0,3529.0,6391.0,4832.0,6519.1144596618215,3165.091232821893
5,2355.0,5327.0,6863.0,3616.0,6565.0,4945.0,6672.621997621779,3238.092929720091
6,2393.0,5406.0,6966.0,3654.0,6635.0,5011.0,6760.902787776129,3282.0307887454774
7,2437.0,5476.0,7085.0,3700.0,6743.0,5088.0,6867.43377698263,3329.9016731243382
8,2479.0,5547.0,7196.0,3745.0,6828.0,5159.0,6962.7333505815095,3376.8690257100043
9,2534.0,5649.0,7324.0,3807.0,6952.0,5253.0,7086.921199688434,3441.0668179722115
10,2574.0,5745.0,7431.0,3863.0,7034.0,5329.0,7185.753367215653,3494.5321948175974
11,2629.0,5828.0,7506.0,3921.0,7113.0,5399.0,7265.476323628743,3554.9256852161925
12,2668.0,5937.0,7635.0,3970.0,7198.0,5482.0,7378.935915276704,3607.7344997772425
13,2705.0,6010.0,7751.0,4025.0,7286.0,5555.0,7477.976928272065,3655.1017590389656
14,2747.0,6114.0,7911.0,4100.0,7392.0,5653.0,7612.175889670621,3717.264042062583
15,2787.0,6254.0,8031.0,4187.0,7523.0,5756.0,7747.112218501677,3788.782489868071
16,2830.0,6335.0,8138.0,4235.0,7613.0,5830.0,7845.192439115101,3838.9665699924417
17,2870.0,6408.0,8245.0,4289.0,7698.0,5902.0,7939.944749005723,3888.462655400889
18,2911.0,6491.0,8351.0,4348.0,7777.0,5976.0,8034.837503706076,3941.771922758304
19,2959.0,6583.0,8487.0,4398.0,7884.0,6062.0,8153.375376795535,3995.696035767945
20,3001.0,6677.0,8600.0,4458.0,7974.0,6142.0,8257.937144624102,4051.4043341441566
21,3045.0,6765.0,8708.0,4507.0,8073.0,6220.0,8361.764288306878,4103.838309258767
22,3085.0,6878.0,8844.0,4560.0,8169.0,6307.0,8482.44233816175,4157.63590070988
23,3129.0,6977.0,8937.0,4636.0,8285.0,6393.0,8589.970679519112,4222.317196839409
24,3182.0,7065.0,9072.0,4691.0,8372.0,6476.0,8699.40339719689,4279.273342174711
25,3216.0,7150.0,9187.0,4753.0,8438.0,6549.0,8795.021853559458,4329.853483218062
26,3251.0,7242.0,9276.0,4809.0,8510.0,6618.0,8882.648905827715,4380.4254170684035
27,3287.0,7321.0,9390.0,4870.0,8604.0,6694.0,8985.037727028228,4430.449033628946
28,3333.0,7406.0,9497.0,4932.0,8670.0,6768.0,9076.341800225146,4487.255809801583
29,3374.0,7494.0,9577.0,4975.0,8747.0,6833.0,9158.798672857705,4535.104401614648
30,3417.0,7592.0,9697.0,5037.0,8838.0,6916.0,9267.963555556647,4592.228786193356
