,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,2234.0,5843.0,8786.0,3861.0,6256.0,5396.0,7622.4760497252155,3196.1892960226483
2,2260.0,5958.0,8931.0,3965.0,6398.0,5502.0,7766.5849656541195,3264.5849840021197
3,2305.0,6151.0,9137.0,4102.0,6572.0,5653.0,7970.1329410861745,3363.6663484124197
4,2335.0,6439.0,9415.0,4330.0,6854.0,5875.0,8271.946446349328,3506.7123355541626
5,2369.0,6604.0,9588.0,4428.0,7005.0,5999.0,8444.564263450598,3582.700889058568
6,2409.0,6717.0,9746.0,4506.0,7106.0,6097.0,8580.960822289004,3642.7641858477155
7,2460.0,6848.0,9879.0,4579.0,7205.0,6194.0,8707.16703914934,3710.9559529350263
8,2495.0,6961.0,10020.0,4629.0,7296.0,6280.0,8830.907400645243,3759.667588131626
9,2534.0,7077.0,10229.0,4705.0,7408.0,6391.0,8996.922997071608,3816.2385885290805
10,2571.0,7205.0,10374.0,4763.0,7534.0,6489.0,9135.798267089252,3873.949252941953
11,2610.0,7314.0,10501.0,4832.0,7630.0,6577.0,9254.008305304014,3932.1010246731144
12,2644.0,7431.0,10663.0,4906.0,7756.0,6680.0,9401.1188140175,3991.470610874697
13,2688.0,7561.0,10790.0,4970.0,7851.0,6772.0,9523.630280397423,4053.324564459832
14,2737.0,7702.0,10948.0,5060.0,8005.0,6890.0,9681.63899289766,4131.8432093152005
15,2765.0,7860.0,11111.0,5154.0,8161.0,7010.0,9850.079676112391,4203.958578689427
16,2803.0,7973.0,11251.0,5227.0,8268.0,7104.0,9979.044185167711,4263.436917728579
17,2823.0,8088.0,11386.0,5303.0,8346.0,7189.0,10100.378052858588,4312.514105536914
18,2852.0,8167.0,11542.0,5388.0,8448.0,7279.0,10228.66043243399,4364.714310511268
19,2890.0,8311.0,11714.0,5460.0,8561.0,7387.0,10383.375104466506,4426.535019429295
20,2920.0,8415.0,11850.0,5536.0,8684.0,7481.0,10513.934948197868,4484.388936370509
21,2951.0,8497.0,11994.0,5603.0,8775.0,7564.0,10632.78477577037,4531.968463538805
22,2987.0,8630.0,12169.0,5661.0,8905.0,7670.0,10789.435696831506,4587.972356288753
23,3027.0,8751.0,12340.0,5733.0,9004.0,7771.0,10933.765561972623,4646.113236337309
24,3071.0,8872.0,12475.0,5803.0,9133.0,7871.0,11068.126360760029,4712.139860296494
25,3098.0,8984.0,12621.0,5863.0,9241.0,7961.0,11199.85477702639,4760.983496393406
26,3132.0,9067.0,12777.0,5937.0,9323.0,8047.0,11322.692318681147,4810.56304227656
27,3167.0,9197.0,12927.0,6003.0,9458.0,8150.0,11468.635241581494,4871.158521022599
28,3193.0,9320.0,13049.0,6058.0,9561.0,8236.0,11590.733456873537,4921.468538702547
29,3229.0,9410.0,13175.0,6119.0,9648.0,8316.0,11700.828469312244,4971.73395858117
30,3260.0,9511.0,13329.0,6180.0,9784.0,8413.0,11842.052313200642,5024.991564409267
31,3293.0,9615.0,13467.0,6245.0,9869.0,8498.0,11961.70682458355,5075.75209209179
32,3316.0,9696.0,13593.0,6300.0,9959.0,8573.0,12071.145303824109,5116.726064611915
33,3335.0,9764.0,13744.0,6352.0,10033.0,8646.0,12185.278269176735,5149.061627811725
34,3373.0,9868.0,13900.0,6425.0,10136.0,8740.0,12318.008198239164,5204.891939527277
35,3418.0,10035.0,14103.0,6534.0,10274.0,8873.0,12503.258691424988,5286.194930365364
36,3449.0,10146.0,14276.0,6583.0,10394.0,8970.0,12650.858523044137,5333.177007089278
37,3469.0,10226.0,14404.0,6653.0,10484.0,9047.0,12761.775331923407,5376.738697996532
38,3491.0,10295.0,14525.0,6693.0,10566.0,9114.0,12862.635911901822,5410.2595509018565
39,3510.0,10378.0,14660.0,6756.0,10649.0,9191.0,12976.437341532239,5450.8506747744805
