,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,5888.0,6767.0,5485.0,3078.0,9688.0,1580.0,5414.0,8011.558258203635,2839.774734783921
2,5948.0,6840.0,5563.0,3121.0,9788.0,1602.0,5477.0,8098.643504877555,2878.8694678856564
3,6053.0,6955.0,5650.0,3167.0,9938.0,1627.0,5565.0,8228.29513948417,2925.5913980860896
4,6257.0,7134.0,5824.0,3253.0,10140.0,1661.0,5712.0,8432.175169429527,3016.167453279297
5,6392.0,7301.0,5972.0,3317.0,10335.0,1687.0,5834.0,8611.120691171584,3081.7867239861903
6,6471.0,7418.0,6070.0,3377.0,10489.0,1709.0,5922.0,8739.954442161057,3129.355238280584
7,6534.0,7484.0,6166.0,3425.0,10599.0,1731.0,5990.0,8833.71045341419,3171.776172261955
8,6588.0,7536.0,6230.0,3461.0,10721.0,1749.0,6048.0,8921.724810366206,3199.994967184228
9,6655.0,7583.0,6342.0,3517.0,10844.0,1773.0,6119.0,9019.11683672687,3244.8937051584853
10,6713.0,7644.0,6443.0,3577.0,10964.0,1799.0,6190.0,9115.502236084145,3290.735982143383
11,6786.0,7727.0,6552.0,3618.0,11125.0,1822.0,6272.0,9240.092693649447,3330.4914704798116
12,6849.0,7790.0,6635.0,3654.0,11222.0,1858.0,6335.0,9323.457780321132,3373.309034025209
13,6917.0,7830.0,6733.0,3688.0,11311.0,1884.0,6394.0,9402.043961811476,3412.9165367830938
14,6997.0,7961.0,6862.0,3753.0,11510.0,1912.0,6499.0,9559.730382799255,3465.7386868004605
15,7104.0,8062.0,6963.0,3818.0,11635.0,1941.0,6587.0,9677.827042965007,3523.9119572941568
16,7170.0,8119.0,7052.0,3867.0,11757.0,1965.0,6655.0,9773.909478220447,3564.0633691464363
17,7225.0,8188.0,7137.0,3907.0,11854.0,1996.0,6718.0,9858.355894298787,3605.7912823854144
18,7306.0,8269.0,7225.0,3962.0,11997.0,2028.0,6798.0,9971.579232169435,3652.8659176933547
19,7405.0,8368.0,7324.0,4025.0,12140.0,2049.0,6885.0,10095.501800267959,3703.3105378951523
20,7663.0,8757.0,7447.0,4116.0,12595.0,2069.0,7108.0,10464.40931296981,3781.675601701849
21,7759.0,8859.0,7537.0,4168.0,12741.0,2102.0,7194.0,10586.723768807089,3831.7408978886233
22,7814.0,8930.0,7652.0,4213.0,12843.0,2133.0,7264.0,10679.396581588118,3879.2534150737806
23,8009.0,9198.0,7765.0,4296.0,13134.0,2174.0,7429.0,10930.342490830515,3959.096354526584
24,8086.0,9279.0,7855.0,4350.0,13272.0,2204.0,7508.0,11041.648007101901,4006.008504694653
25,8143.0,9346.0,7918.0,4397.0,13387.0,2230.0,7570.0,11129.602666430223,4042.340684485909
26,8233.0,9450.0,7998.0,4425.0,13522.0,2261.0,7648.0,11244.834322408686,4083.4429514530666
27,8282.0,9501.0,8085.0,4466.0,13621.0,2292.0,7708.0,11324.942605229424,4123.478978122248
28,8362.0,9589.0,8183.0,4507.0,13759.0,2313.0,7786.0,11440.278125573863,4164.442272303634
29,8414.0,9631.0,8247.0,4564.0,13849.0,2345.0,7842.0,11510.289143196762,4206.574936860793
30,8477.0,9692.0,8359.0,4631.0,13963.0,2376.0,7916.0,11606.396984710711,4258.737450961946
31,8537.0,9739.0,8443.0,4670.0,14065.0,2406.0,7977.0,11688.949923974627,4298.305740516552
32,8583.0,9790.0,8500.0,4706.0,14162.0,2426.0,8028.0,11762.51239247158,4326.963649743659
33,8623.0,9824.0,8583.0,4746.0,14252.0,2448.0,8079.0,11832.175442843287,4359.5220397222165
34,8659.0,9870.0,8682.0,4791.0,14354.0,2475.0,8138.0,11912.427853204725,4397.478255056298
35,8737.0,9940.0,8803.0,4866.0,14485.0,2519.0,8225.0,12023.384963814664,4460.681957195839
36,8807.0,10029.0,8894.0,4908.0,14593.0,2552.0,8297.0,12121.183896753722,4507.132427950766
37,8861.0,10087.0,8966.0,4952.0,14690.0,2578.0,8356.0,12201.24688042635,4545.20429665479
38,8926.0,10194.0,9047.0,5004.0,14811.0,2603.0,8431.0,12307.144193592881,4589.602114661499
39,9009.0,10305.0,9141.0,5056.0,14948.0,2633.0,8515.0,12426.225413869066,4638.889585908015
40,9080.0,10356.0,9210.0,5093.0,15060.0,2670.0,8578.0,12512.436106507574,4678.869047235561
41,9197.0,10513.0,9318.0,5167.0,15274.0,2695.0,8694.0,12687.229186176688,4736.585251948535
