,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,4796.0,2496.0,5014.0,4102.0,5241.09554764588,2991.746995800807
2,4903.0,2542.0,5092.0,4179.0,5339.102581671121,3048.271871756964
3,5018.0,2598.0,5224.0,4280.0,5472.323222396791,3117.8670758758562
4,5257.0,2666.0,5387.0,4437.0,5690.174735089511,3215.5050549401185
5,5392.0,2726.0,5523.0,4547.0,5835.751592304222,3290.8803268265665
6,5467.0,2766.0,5609.0,4614.0,5922.018603333556,3339.1011674123574
7,5540.0,2806.0,5699.0,4682.0,6009.884125215751,3387.6873490487233
8,5625.0,2851.0,5782.0,4753.0,6099.208100555037,3440.8273471794746
9,5707.0,2909.0,5858.0,4825.0,6180.982884601916,3503.300066219595
10,5786.0,2953.0,5956.0,4898.0,6275.308093105291,3555.6174219480663
11,5846.0,2995.0,6036.0,4959.0,6349.922236024238,3603.2967015849918
12,5919.0,3037.0,6125.0,5027.0,6436.653385292522,3653.0398356090036
13,5994.0,3072.0,6200.0,5089.0,6517.476431960523,3696.6420966660444
14,6074.0,3122.0,6305.0,5167.0,6616.105241174705,3754.5869230285357
15,6182.0,3159.0,6425.0,5255.0,6740.64741779468,3807.0213104958275
16,6264.0,3201.0,6507.0,5324.0,6828.462030095809,3857.6317993082366
17,6329.0,3234.0,6572.0,5378.0,6897.51447837788,3897.0117831150164
18,6409.0,3296.0,6653.0,5453.0,6981.243517898898,3963.4011699951593
19,6509.0,3336.0,6737.0,5527.0,7079.299879748326,4014.056526718411
20,6590.0,3377.0,6813.0,5593.0,7162.82639698365,4062.9737908474785
21,6672.0,3419.0,6893.0,5661.0,7249.133994136935,4113.129752444588
22,6755.0,3452.0,6978.0,5728.0,7340.183276388471,4156.689411667542
23,6825.0,3501.0,7091.0,5806.0,7439.25959867581,4214.044155985097
24,6901.0,3544.0,7176.0,5874.0,7525.144325409906,4264.612280679635
25,6975.0,3603.0,7246.0,5941.0,7598.148630429188,4325.862605905113
26,7037.0,3633.0,7322.0,5997.0,7672.879942995122,4363.605580800409
27,7127.0,3672.0,7428.0,6076.0,7780.08536073363,4415.011742404719
28,7181.0,3723.0,7496.0,6133.0,7842.2076868147615,4467.121714360665
29,7239.0,3766.0,7570.0,6192.0,7912.520149063455,4514.993092237968
30,7321.0,3832.0,7660.0,6271.0,8001.177447546927,4584.63162387336
31,7387.0,3879.0,7740.0,6335.0,8077.858260635863,4636.3231921559445
32,7441.0,3920.0,7806.0,6389.0,8141.1942434178545,4681.172305724804
33,7496.0,3957.0,7865.0,6439.0,8200.727253767354,4721.93197263243
34,7563.0,3996.0,7961.0,6507.0,8289.729438249113,4769.3589775377
35,7673.0,4053.0,8055.0,6594.0,8397.278749944113,4836.3299860682055
36,7735.0,4089.0,8128.0,6651.0,8469.463522684284,4878.529700384535
37,7792.0,4124.0,8196.0,6704.0,8535.775823256401,4918.605776492673
38,7849.0,4159.0,8270.0,6759.0,8605.728706839927,4959.082804553873
39,7905.0,4198.0,8353.0,6819.0,8681.094944768749,5004.003050646877
40,7972.0,4239.0,8432.0,6881.0,8758.591187310663,5050.950483365727
41,8044.0,4281.0,8504.0,6943.0,8834.662936853885,5099.235038478783
42,8115.0,4324.0,8590.0,7010.0,8918.928211501592,5149.355628779513
43,8183.0,4372.0,8672.0,7076.0,8998.175915466636,5202.443364188969
44,8270.0,4411.0,8775.0,7152.0,9101.113815729257,5252.238848346105
45,8378.0,4450.0,8868.0,7232.0,9209.31602599753,5304.750733990713
46,8458.0,4495.0,8936.0,7296.0,9286.43083694628,5356.019293846035
47,8541.0,4538.0,9011.0,7363.0,9370.005460049042,5406.864349594505
48,8604.0,4570.0,9081.0,7418.0,9441.468041918792,5445.818609628125
49,8683.0,4605.0,9155.0,7481.0,9523.747822582774,5489.975707497939
50,8744.0,4648.0,9231.0,7541.0,9596.29868064636,5537.742644258274
51,8819.0,4687.0,9334.0,7613.0,9692.884031222253,5585.8311051460105
52,8896.0,4730.0,9427.0,7684.0,9784.246711698413,5636.984019278591
53,8985.0,4785.0,9499.0,7756.0,9867.502683714452,5698.013054852316
54,9044.0,4836.0,9570.0,7817.0,9935.560733926062,5752.031120636425
55,9116.0,4872.0,9650.0,7879.0,10016.65126170446,5795.526573673866
56,9178.0,4915.0,9739.0,7944.0,10098.036675639483,5844.504751136597
57,9251.0,4967.0,9819.0,8012.0,10177.825073730564,5901.066138531899
58,9330.0,5010.0,9893.0,8078.0,10259.310978135243,5951.869748165818
59,9399.0,5053.0,9964.0,8139.0,10333.054143209172,6000.449247251544
60,9458.0,5095.0,10034.0,8196.0,10401.076623763143,6046.705862150155
61,9550.0,5157.0,10134.0,8280.0,10501.361800787976,6114.935632869101
62,9577.0,5167.0,10146.0,8297.0,10522.166716600505,6128.124461845495
63,9568.0,5160.0,10148.0,8292.0,10519.280554098801,6121.115449100682
64,9568.0,5159.0,10141.0,8289.0,10514.80657665186,6119.603401248249
65,9560.0,5151.0,10141.0,8284.0,10512.027079428495,6112.387826214512
66,9551.0,5152.0,10158.0,8287.0,10517.587516029504,6112.892221316217
67,9566.0,5147.0,10153.0,8289.0,10523.381998823537,6111.14251578915
68,9516.0,5140.0,10123.0,8260.0,10479.812661014439,6096.342949710814
69,9495.0,5150.0,10127.0,8257.0,10469.313476130059,6100.754848820357
70,9490.0,5163.0,10096.0,8250.0,10446.579519009802,6108.987815396987
71,9502.0,5121.0,10092.0,8238.0,10455.408453578186,6076.788879087782
72,9492.0,5154.0,10114.0,8253.0,10459.221713699691,6102.692364374661
73,9490.0,5179.0,10135.0,8268.0,10468.067726230263,6123.639232778216
74,9474.0,5185.0,10129.0,8263.0,10455.605812726037,6125.860905186264
75,9445.0,5171.0,10104.0,8240.0,10426.723728930261,6108.645352520296
76,9451.0,5166.0,10095.0,8237.0,10424.61672069553,6104.826268414963
77,9453.0,5170.0,10087.0,8237.0,10420.853226905752,6108.391870574571
78,9456.0,5189.0,10081.0,8242.0,10415.823513228861,6123.218927464819
79,9497.0,5195.0,10104.0,8265.0,10450.150242736945,6135.230293754184
80,9489.0,5196.0,10117.0,8267.0,10453.841310353055,6135.582044928236
81,9571.0,5195.0,10172.0,8313.0,10531.135008665313,6150.97812295199
82,9544.0,5197.0,10159.0,8300.0,10508.470511462627,6147.44921081987
83,9525.0,5181.0,10137.0,8281.0,10487.223923358642,6130.6389140425745
84,9496.0,5154.0,10110.0,8253.0,10458.848192872756,6103.056427442638
85,9535.0,5156.0,10116.0,8269.0,10482.965823283337,6111.093043402165
86,9530.0,5170.0,10119.0,8273.0,10480.288985762098,6121.600819621488
87,9534.0,5177.0,10126.0,8279.0,10485.719888582751,6128.155506938418
88,9576.0,5166.0,10159.0,8300.0,10529.051573352815,6127.4405697021775
89,9595.0,5181.0,10191.0,8322.0,10556.544752292959,6144.086481164881
90,9571.0,5174.0,10167.0,8304.0,10530.578690876806,6133.799540748981
91,9570.0,5160.0,10168.0,8299.0,10532.228063439408,6122.36983071071
92,9611.0,5162.0,10178.0,8317.0,10559.898571045958,6130.892889174915
93,9724.0,5199.0,10228.0,8384.0,10645.27992886035,6179.925656579112
94,10385.0,5423.0,10682.0,8830.0,11242.162100688924,6478.915207824269
95,10402.0,5443.0,10682.0,8842.0,11248.408163633094,6496.574748753728
96,10443.0,5439.0,10684.0,8855.0,11272.71522654482,6498.553987079127
97,10461.0,5442.0,10696.0,8866.0,11289.269193328164,6504.14064988041
98,10474.0,5428.0,10716.0,8873.0,11310.749970088538,6496.923936754056
99,10496.0,5444.0,10732.0,8891.0,11330.065036033275,6513.642169023855
100,10521.0,5454.0,10773.0,8916.0,11366.164484274474,6527.875066082179
101,10533.0,5456.0,10767.0,8919.0,11369.337986890789,6530.654655666671
102,10533.0,5475.0,10778.0,8929.0,11373.158529364793,6546.677645828284
103,10537.0,5464.0,10767.0,8923.0,11370.448518355392,6537.470961222263
104,10533.0,5464.0,10779.0,8925.0,11374.591853758498,6537.484494120588
105,10571.0,5462.0,10800.0,8944.0,11408.155619409348,6542.289491264321
106,10577.0,5479.0,10808.0,8955.0,11414.47614679766,6557.747879144121
107,10594.0,5499.0,10823.0,8972.0,11429.560714746773,6576.666112348148
108,10608.0,5500.0,10806.0,8971.0,11426.933953373611,6577.302980059647
109,10605.0,5500.0,10795.0,8967.0,11419.530444935053,6576.51771190181
110,10604.0,5536.0,10794.0,8978.0,11413.0972602068,6604.560779515656
111,10603.0,5543.0,10798.0,8981.0,11413.571804353025,6610.073586235492
112,10618.0,5533.0,10804.0,8985.0,11427.113428979088,6604.722264104459
113,10706.0,5554.0,10869.0,9043.0,11510.992841696803,6637.498132752058
114,10702.0,5576.0,10874.0,9051.0,11508.963571061757,6655.222155605734
115,10653.0,5579.0,10843.0,9025.0,11462.924253677022,6648.805367118819
116,10670.0,5579.0,10834.0,9028.0,11467.494534393003,6650.223545805849
117,10633.0,5594.0,10816.0,9014.0,11433.694522730779,6655.624807793638
118,10633.0,5589.0,10802.0,9008.0,11426.582367145404,6650.6575061452495
119,10637.0,5595.0,10793.0,9008.0,11422.431247726885,6654.754813693391
120,10619.0,5592.0,10763.0,8991.0,11395.410444024343,6647.521884970491
