,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,5179.0,5533.0,5865.0,6393.0,5647.0,5723.0,6124.715156132635,5326.1441565740515
2,5248.0,5609.0,5945.0,6507.0,5748.0,5811.0,6226.719456685235,5400.307578821268
3,5341.0,5713.0,6081.0,6627.0,5890.0,5930.0,6355.257412241887,5509.883854768055
4,5438.0,5835.0,6211.0,6785.0,6125.0,6079.0,6523.610578671568,5639.690189015138
5,5537.0,5935.0,6310.0,6892.0,6234.0,6182.0,6629.263084399626,5740.045341359826
6,5633.0,6012.0,6397.0,7013.0,6347.0,6280.0,6737.361855281643,5828.1639110785
7,5723.0,6101.0,6505.0,7096.0,6452.0,6375.0,6831.694500368317,5923.82327340718
8,5813.0,6191.0,6602.0,7188.0,6557.0,6470.0,6928.259060648741,6017.253364192281
9,5911.0,6314.0,6721.0,7310.0,6650.0,6581.0,7044.894564170208,6122.685354211146
10,5999.0,6422.0,6824.0,7412.0,6736.0,6679.0,7145.90712852415,6217.636564380611
11,6072.0,6517.0,6922.0,7529.0,6849.0,6778.0,7258.902242318194,6302.833172041133
12,6158.0,6591.0,7035.0,7664.0,6950.0,6880.0,7379.67696231332,6386.2591988114455
13,6240.0,6685.0,7133.0,7773.0,7014.0,6969.0,7476.431571741452,6467.6456722987605
14,6355.0,6797.0,7271.0,7902.0,7146.0,7094.0,7608.048019806191,6586.132560791125
15,6460.0,6889.0,7364.0,8021.0,7272.0,7201.0,7720.698919247161,6687.549339270222
16,6534.0,6979.0,7471.0,8136.0,7378.0,7300.0,7833.669810525822,6772.673466137642
17,6618.0,7066.0,7550.0,8218.0,7462.0,7383.0,7915.366196021749,6856.985575691348
18,6710.0,7160.0,7641.0,8337.0,7547.0,7479.0,8019.39874167137,6945.073333018207
19,6807.0,7285.0,7750.0,8461.0,7691.0,7599.0,8146.75338124622,7057.782674872511
20,6906.0,7405.0,7855.0,8638.0,7873.0,7735.0,8308.584053706749,7168.333648520007
21,7014.0,7497.0,7957.0,8787.0,8000.0,7851.0,8440.138014390515,7268.917785221104
22,7114.0,7601.0,8113.0,8906.0,8090.0,7965.0,8561.608218738786,7375.512946617439
23,7211.0,7717.0,8218.0,9060.0,8228.0,8087.0,8701.499281258055,7479.8361561332
24,7314.0,7825.0,8326.0,9166.0,8325.0,8191.0,8805.799289741512,7583.58793696574
25,7404.0,7896.0,8422.0,9300.0,8426.0,8290.0,8921.86253779336,7665.656744094985
26,7495.0,8002.0,8511.0,9399.0,8504.0,8382.0,9013.978296040827,7757.614674766571
27,7601.0,8108.0,8613.0,9486.0,8575.0,8477.0,9101.454535307948,7859.9760246585065
28,7680.0,8192.0,8718.0,9586.0,8667.0,8569.0,9201.22517085819,7944.298454104007
29,7761.0,8264.0,8810.0,9690.0,8757.0,8656.0,9297.523395260583,8022.207982393747
30,7853.0,8382.0,8927.0,9798.0,8838.0,8760.0,9404.507460520565,8123.16326324406
31,7929.0,8491.0,9021.0,9881.0,8915.0,8847.0,9490.9744301342,8210.786302330818
