,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,6676.0,5510.0,6443.0,3111.0,4608.0,5270.0,6574.59873779897,3980.9775612896265
2,6748.0,5604.0,6534.0,3162.0,4681.0,5346.0,6661.719790330246,4046.0138019086085
3,6864.0,5733.0,6642.0,3250.0,4807.0,5459.0,6782.130744358496,4151.73980129914
4,7250.0,5949.0,6842.0,3396.0,5018.0,5691.0,7072.434037513192,4326.11067952641
5,7411.0,6080.0,6953.0,3442.0,5116.0,5800.0,7216.414440291635,4400.59741026803
6,7656.0,6240.0,7102.0,3532.0,5234.0,5953.0,7414.573182111202,4508.90722047861
7,7743.0,6350.0,7188.0,3598.0,5290.0,6034.0,7506.405163895681,4579.204967715319
8,7813.0,6426.0,7254.0,3647.0,5357.0,6099.0,7578.298302123904,4637.466675951397
9,7874.0,6505.0,7354.0,3698.0,5424.0,6171.0,7659.958830861351,4699.873654708908
10,7989.0,6630.0,7478.0,3786.0,5514.0,6279.0,7781.343192039245,4794.697782768971
11,8043.0,6721.0,7557.0,3835.0,5572.0,6346.0,7855.380756027672,4854.648111507517
12,8094.0,6811.0,7637.0,3894.0,5646.0,6416.0,7927.021729382694,4923.123183780147
13,8178.0,6931.0,7747.0,3965.0,5736.0,6511.0,8031.902714399139,5008.36053821203
14,8295.0,7047.0,7870.0,4049.0,5842.0,6621.0,8154.999826162528,5105.323891245194
15,8497.0,7190.0,8002.0,4132.0,5981.0,6760.0,8325.749490393233,5213.0508688601785
16,8638.0,7317.0,8129.0,4207.0,6069.0,6872.0,8462.21155825255,5300.8335785762465
17,8745.0,7433.0,8229.0,4271.0,6151.0,6966.0,8572.570809726938,5378.646154147311
18,8882.0,7548.0,8374.0,4339.0,6238.0,7076.0,8710.78664255207,5460.816443965675
19,8971.0,7660.0,8489.0,4455.0,6386.0,7192.0,8817.23098871104,5586.257654703991
20,9141.0,7778.0,8617.0,4524.0,6493.0,7311.0,8966.845242366166,5674.9377545534935
21,9199.0,7863.0,8716.0,4562.0,6552.0,7378.0,9048.547295549177,5727.5081727902625
22,9256.0,7969.0,8814.0,4638.0,6630.0,7461.0,9132.561385850568,5809.506227723515
23,9449.0,8155.0,8956.0,4746.0,6758.0,7613.0,9311.176836100018,5935.13724556909
24,9559.0,8251.0,9061.0,4835.0,6846.0,7710.0,9415.802059638418,6024.675636760789
25,9611.0,8349.0,9139.0,4880.0,6920.0,7780.0,9493.055914635208,6087.43636602828
26,9716.0,8420.0,9241.0,4924.0,6990.0,7858.0,9592.501474968143,6144.2958443001025
27,9832.0,8545.0,9355.0,4990.0,7059.0,7956.0,9712.431771139052,6220.628195893719
28,9968.0,8697.0,9478.0,5056.0,7173.0,8074.0,9855.38739937911,6313.995543495885
29,10020.0,8774.0,9563.0,5100.0,7246.0,8141.0,9929.972852411871,6373.4045449672
30,10081.0,8873.0,9652.0,5148.0,7319.0,8215.0,10014.399529472725,6437.102742817222
31,10164.0,8957.0,9748.0,5212.0,7382.0,8293.0,10103.030018167286,6504.599569979651
32,10207.0,9033.0,9831.0,5256.0,7423.0,8350.0,10168.816318378522,6552.9666987742585
33,10248.0,9061.0,9889.0,5286.0,7471.0,8391.0,10214.665429841778,6589.175662597171
34,10326.0,9141.0,9976.0,5328.0,7525.0,8459.0,10298.979284303676,6641.081287888921
35,10440.0,9237.0,10089.0,5392.0,7610.0,8554.0,10412.445013086657,6717.764416374447
36,10510.0,9319.0,10184.0,5450.0,7682.0,8629.0,10496.358348041425,6784.006031755891
37,10567.0,9401.0,10242.0,5496.0,7729.0,8687.0,10561.164667258456,6835.2812282844325
38,10654.0,9491.0,10324.0,5545.0,7800.0,8763.0,10651.14611899256,6897.443126084013
39,10858.0,9629.0,10473.0,5616.0,7908.0,8897.0,10826.155402414919,6990.924989541242
40,10952.0,9739.0,10579.0,5681.0,7964.0,8983.0,10929.138638432525,7060.169251932379
41,11049.0,9849.0,10698.0,5735.0,8056.0,9077.0,11042.899963545111,7134.692790714721
42,11219.0,9957.0,10845.0,5793.0,8148.0,9192.0,11195.471953052167,7212.570781451743
43,11384.0,10098.0,10971.0,5867.0,8258.0,9316.0,11347.853209921097,7308.433039645824
44,11494.0,10199.0,11066.0,5932.0,8346.0,9407.0,11453.287337268808,7385.268174896941
45,11654.0,10317.0,11187.0,6000.0,8479.0,9527.0,11597.838541911626,7481.011007303778
46,11738.0,10390.0,11272.0,6039.0,8541.0,9596.0,11683.71885080343,7533.284672134925
47,11852.0,10448.0,11379.0,6067.0,8645.0,9678.0,11790.770069521684,7590.557576158368
48,12057.0,10605.0,11551.0,6140.0,8753.0,9821.0,11979.593840134514,7688.282613032313
49,12154.0,10698.0,11651.0,6201.0,8856.0,9912.0,12082.49017505263,7767.504656990257
50,12277.0,10791.0,11757.0,6255.0,8930.0,10002.0,12195.962807342003,7834.313144210653
51,12334.0,10864.0,11834.0,6308.0,8978.0,10064.0,12264.578620878307,7889.728365447169
52,12553.0,11020.0,11988.0,6418.0,9090.0,10214.0,12447.411060836464,8007.313243030663
53,12841.0,11190.0,12208.0,6523.0,9293.0,10411.0,12696.056585732616,8153.310348629652
54,12931.0,11281.0,12303.0,6604.0,9374.0,10499.0,12788.856472940317,8236.51974791101
55,12990.0,11376.0,12380.0,6664.0,9436.0,10569.0,12863.555505248602,8301.94929012022
56,13149.0,11498.0,12506.0,6745.0,9565.0,10693.0,13009.290885589862,8404.401926508479
57,13289.0,11628.0,12643.0,6828.0,9674.0,10812.0,13149.573328618091,8502.470764797636
58,13401.0,11705.0,12753.0,6923.0,9761.0,10909.0,13252.079825073542,8593.933824255
59,13456.0,11764.0,12834.0,6981.0,9846.0,10976.0,13319.52012294895,8660.57109619717
60,13527.0,11815.0,12912.0,7031.0,9891.0,11035.0,13387.970243472422,8710.234154855523
61,13595.0,11916.0,12997.0,7061.0,9946.0,11103.0,13475.116438963316,8759.293165984805
62,13654.0,11993.0,13029.0,7126.0,10001.0,11161.0,13528.425662331696,8821.879564458504
63,13643.0,11997.0,13007.0,7133.0,10024.0,11161.0,13518.307312733465,8831.900832149571
64,13656.0,12023.0,13030.0,7163.0,10032.0,11181.0,13535.481464498429,8854.692836669032
65,13654.0,12068.0,13054.0,7190.0,10053.0,11204.0,13553.829476082608,8882.289110637465
66,13722.0,12135.0,13115.0,7222.0,10106.0,11260.0,13622.424771289025,8925.868761595604
67,13800.0,12172.0,13171.0,7255.0,10143.0,11308.0,13683.3468308158,8961.125560268467
68,13692.0,12141.0,13129.0,7254.0,10101.0,11263.0,13611.412456675076,8942.761451353941
69,13736.0,12184.0,13152.0,7293.0,10146.0,11302.0,13648.622970710605,8983.50540963046
70,13814.0,12258.0,13223.0,7337.0,10239.0,11374.0,13729.39596812652,9046.837481844837
71,13899.0,12285.0,13254.0,7380.0,10285.0,11421.0,13781.806867718464,9088.419089202698
72,14034.0,12435.0,13344.0,7467.0,10380.0,11532.0,13907.29307665391,9185.15457323179
73,14019.0,12408.0,13335.0,7510.0,10411.0,11537.0,13888.015667039816,9214.093025750728
74,13985.0,12446.0,13327.0,7547.0,10402.0,11541.0,13874.722919857168,9235.275059210431
75,14019.0,12496.0,13312.0,7563.0,10404.0,11559.0,13895.86194856835,9250.10133281452
76,14049.0,12521.0,13320.0,7577.0,10425.0,11578.0,13917.53257439743,9266.53498388853
77,14217.0,12620.0,13405.0,7602.0,10470.0,11663.0,14045.784036933826,9308.729229433324
78,14162.0,12598.0,13398.0,7604.0,10434.0,11639.0,14010.182862342477,9296.239659055627
79,14191.0,12656.0,13424.0,7631.0,10479.0,11676.0,14048.17043373082,9332.26391529651
80,14178.0,12670.0,13457.0,7644.0,10489.0,11688.0,14058.034655161537,9346.301818182143
81,14204.0,12608.0,13503.0,7671.0,10503.0,11698.0,14064.893104190949,9359.429844734137
82,14175.0,12648.0,13488.0,7687.0,10480.0,11696.0,14054.548084450827,9365.650820195058
83,14144.0,12689.0,13452.0,7708.0,10480.0,11695.0,14037.86488442391,9380.146190671985
84,14188.0,12682.0,13437.0,7737.0,10504.0,11710.0,14046.962187684403,9400.978193875006
85,14219.0,12681.0,13422.0,7749.0,10537.0,11722.0,14055.822758194518,9416.080024046632
86,14235.0,12689.0,13401.0,7729.0,10526.0,11716.0,14058.801058562165,9401.25745132063
87,14204.0,12681.0,13414.0,7737.0,10558.0,11719.0,14050.434701351653,9415.463580712087
88,14306.0,12763.0,13456.0,7810.0,10609.0,11789.0,14125.137617236336,9480.81698920664
89,14370.0,12783.0,13513.0,7859.0,10635.0,11832.0,14172.47619086373,9519.554475287709
90,14337.0,12799.0,13508.0,7885.0,10624.0,11831.0,14157.248195413951,9532.563870218431
91,14391.0,12790.0,13498.0,7901.0,10660.0,11848.0,14174.665682903325,9549.199581976556
92,14372.0,12742.0,13471.0,7925.0,10640.0,11830.0,14138.744853811266,9548.905782618476
93,14371.0,12811.0,13481.0,8002.0,10747.0,11882.0,14160.490172606998,9630.846312499863
94,15262.0,13282.0,14120.0,8278.0,11283.0,12445.0,14900.842665970278,10018.569684456099
95,15378.0,13376.0,14161.0,8327.0,11340.0,12516.0,14988.543845246564,10073.11672001428
96,15426.0,13400.0,14188.0,8386.0,11376.0,12555.0,15020.52050623528,10119.03184809022
97,15453.0,13411.0,14195.0,8416.0,11396.0,12574.0,15035.442619007534,10142.060896582228
98,15455.0,13420.0,14184.0,8441.0,11400.0,12580.0,15032.254554486544,10157.114822994623
99,15543.0,13436.0,14254.0,8479.0,11443.0,12631.0,15097.266246778721,10194.270941454117
100,15614.0,13539.0,14308.0,8574.0,11515.0,12710.0,15167.990317312093,10281.447754417499
101,15667.0,13577.0,14326.0,8627.0,11541.0,12748.0,15203.091661561064,10322.263495413805
102,15663.0,13634.0,14360.0,8702.0,11567.0,12785.0,15219.695990604712,10379.487194518853
103,15618.0,13575.0,14347.0,8729.0,11563.0,12766.0,15175.668995249485,10385.238550559232
104,15556.0,13551.0,14326.0,8726.0,11540.0,12740.0,15133.957762089103,10374.689326176589
105,15531.0,13535.0,14311.0,8782.0,11571.0,12746.0,15109.128942736726,10411.173023643121
106,15563.0,13517.0,14372.0,8803.0,11585.0,12768.0,15137.242748221464,10427.132440027131
107,15393.0,13474.0,14329.0,8820.0,11556.0,12714.0,15032.06235176422,10423.748068803903
108,15372.0,13459.0,14290.0,8830.0,11560.0,12702.0,15005.051924439973,10426.554628125617
109,15439.0,13480.0,14324.0,8888.0,11620.0,12750.0,15049.262526695607,10478.298642222684
110,15479.0,13470.0,14338.0,8901.0,11629.0,12763.0,15067.696480377985,10485.953864082436
111,15463.0,13490.0,14354.0,8925.0,11632.0,12773.0,15069.028520438425,10504.445720198493
112,15521.0,13536.0,14420.0,8966.0,11684.0,12825.0,15127.682059396535,10549.944159388806
113,15845.0,13696.0,14599.0,9173.0,11871.0,13037.0,15362.899431761112,10738.932557255659
114,15848.0,13713.0,14603.0,9248.0,11912.0,13065.0,15364.101338929337,10793.409703257597
115,15834.0,13708.0,14652.0,9295.0,11852.0,13068.0,15360.753664628337,10802.729551031853
116,15775.0,13690.0,14660.0,9295.0,11834.0,13051.0,15331.614076661517,10797.675553193665
117,15655.0,13631.0,14612.0,9276.0,11759.0,12987.0,15243.239762672989,10757.733848277534
118,15603.0,13605.0,14610.0,9287.0,11738.0,12969.0,15209.884527740478,10754.905181526066
119,15553.0,13607.0,14606.0,9303.0,11723.0,12958.0,15183.101316045331,10759.595758419651
