,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,628.0,2586.0,2540.0,4115.0,3343.0,2642.0,3802.2469852004215,1495.6968799029348
2,641.0,2615.0,2581.0,4196.0,3410.0,2689.0,3872.4131428485434,1519.7117788548271
3,655.0,2663.0,2634.0,4311.0,3504.0,2753.0,3970.8037061311097,1549.829486165273
4,669.0,2734.0,2686.0,4422.0,3594.0,2821.0,4071.4101727033412,1585.5653396476202
5,677.0,2781.0,2728.0,4519.0,3647.0,2870.0,4147.518166863652,1607.8301947370783
6,695.0,2835.0,2756.0,4611.0,3727.0,2925.0,4228.484624637616,1637.1024333725204
7,703.0,2889.0,2811.0,4695.0,3774.0,2974.0,4300.127847029338,1663.8026876275842
8,719.0,2929.0,2850.0,4778.0,3838.0,3023.0,4371.438417825103,1690.6870284312424
9,728.0,2986.0,2892.0,4886.0,3888.0,3076.0,4453.715790720278,1714.7843948111952
10,741.0,3037.0,2935.0,4972.0,3935.0,3124.0,4523.628807934447,1741.133818408131
11,750.0,3076.0,2977.0,5049.0,3999.0,3170.0,4592.69932405504,1764.3637027907298
12,760.0,3118.0,3023.0,5144.0,4067.0,3222.0,4672.515034967465,1788.9052207941213
13,767.0,3184.0,3073.0,5242.0,4171.0,3287.0,4770.9329724305835,1820.8875126951557
14,784.0,3258.0,3118.0,5371.0,4233.0,3353.0,4870.282757651541,1853.8648495952957
15,794.0,3316.0,3168.0,5471.0,4340.0,3418.0,4968.688417015703,1885.859272464752
16,801.0,3364.0,3212.0,5564.0,4407.0,3470.0,5048.870820132752,1909.9902939612039
17,807.0,3403.0,3250.0,5641.0,4458.0,3512.0,5113.568408363085,1929.5886443482416
18,824.0,3444.0,3283.0,5735.0,4529.0,3563.0,5190.600811009874,1954.8921174545653
19,835.0,3486.0,3330.0,5810.0,4582.0,3609.0,5256.979085627809,1980.709702403699
20,848.0,3531.0,3375.0,5895.0,4647.0,3659.0,5330.801473461089,2007.244920459762
21,860.0,3572.0,3430.0,5972.0,4677.0,3702.0,5391.4598446446325,2032.7980344152002
22,860.0,3623.0,3472.0,6078.0,4744.0,3755.0,5478.542127905978,2052.1480321063586
23,874.0,3687.0,3529.0,6171.0,4785.0,3809.0,5554.802327489188,2084.130336218987
24,888.0,3727.0,3583.0,6248.0,4838.0,3857.0,5622.569530397109,2112.5516785619257
25,891.0,3775.0,3639.0,6330.0,4883.0,3904.0,5693.354706777464,2136.0272638735746
26,905.0,3821.0,3679.0,6398.0,4945.0,3950.0,5758.028502725183,2163.577114308018
27,920.0,3885.0,3721.0,6480.0,4977.0,3997.0,5823.599974451622,2192.228063478737
