,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,7939.0,3170.0,2742.0,6525.0,3532.0,4496.0,4734.0,6622.355280837445,2862.5809830760077
2,8020.0,3217.0,2764.0,6599.0,3577.0,4552.0,4788.0,6694.671570090265,2898.4469869541654
3,8127.0,3273.0,2798.0,6690.0,3647.0,4620.0,4859.0,6787.797849142606,2947.5191538817826
4,8447.0,3415.0,2885.0,6899.0,3780.0,4747.0,5029.0,7029.869846556028,3046.0575176751076
5,8596.0,3477.0,2941.0,7023.0,3845.0,4828.0,5118.0,7153.614052670243,3100.6789796871103
6,8876.0,3591.0,3073.0,7251.0,3935.0,4933.0,5276.0,7376.356625047507,3194.5350860558206
7,8950.0,3641.0,3115.0,7331.0,3998.0,4992.0,5338.0,7449.6915359154955,3245.229764919099
8,9022.0,3679.0,3151.0,7418.0,4030.0,5063.0,5394.0,7523.213111971292,3283.8653362219256
9,9097.0,3727.0,3185.0,7490.0,4103.0,5119.0,5454.0,7594.290467603471,3332.8512893834854
10,9257.0,3796.0,3243.0,7632.0,4160.0,5208.0,5549.0,7729.382207648139,3388.20922018627
11,9331.0,3827.0,3265.0,7693.0,4203.0,5273.0,5599.0,7795.788998689201,3421.877503244051
12,9383.0,3844.0,3287.0,7755.0,4254.0,5314.0,5640.0,7848.799436884425,3450.9567628785207
13,9510.0,3896.0,3347.0,7876.0,4334.0,5395.0,5726.0,7961.953242973096,3510.136589915951
14,9656.0,3952.0,3400.0,7991.0,4410.0,5483.0,5815.0,8083.461278362179,3566.920112332024
15,9855.0,4019.0,3475.0,8164.0,4493.0,5579.0,5931.0,8249.889563891262,3632.890052806614
16,9996.0,4083.0,3562.0,8299.0,4557.0,5662.0,6026.0,8373.496173737944,3699.6120808407823
17,10091.0,4138.0,3614.0,8413.0,4614.0,5748.0,6103.0,8470.830793504187,3756.4057860887187
18,10285.0,4229.0,3716.0,8584.0,4693.0,5857.0,6227.0,8635.664686383012,3839.974159495401
19,10387.0,4280.0,3751.0,8684.0,4769.0,5944.0,6302.0,8732.208691802884,3893.64139421291
20,10560.0,4359.0,3818.0,8803.0,4851.0,6022.0,6402.0,8866.90942555512,3959.2158502961574
21,10618.0,4396.0,3842.0,8871.0,4886.0,6087.0,6450.0,8927.630252210096,3994.591095783686
22,10704.0,4435.0,3877.0,8951.0,4944.0,6164.0,6512.0,9007.277730510365,4039.1559462249184
23,10917.0,4526.0,4006.0,9144.0,5036.0,6288.0,6653.0,9191.55040187449,4137.199307019719
24,11050.0,4579.0,4060.0,9269.0,5103.0,6402.0,6744.0,9313.636383393017,4197.392129178899
25,11100.0,4611.0,4099.0,9341.0,5159.0,6468.0,6796.0,9372.717143594778,4242.4289297769255
26,11198.0,4658.0,4147.0,9430.0,5207.0,6538.0,6863.0,9460.061031242816,4289.231466451243
27,11320.0,4722.0,4194.0,9528.0,5261.0,6622.0,6941.0,9563.414309281394,4342.123594986369
28,11492.0,4793.0,4271.0,9659.0,5317.0,6721.0,7042.0,9702.397741477229,4405.480828262802
29,11563.0,4835.0,4302.0,9711.0,5376.0,6794.0,7097.0,9766.596438201314,4451.328595230381
30,11629.0,4874.0,4340.0,9780.0,5445.0,6842.0,7152.0,9830.820929332263,4497.168816627084
31,11724.0,4925.0,4388.0,9842.0,5494.0,6905.0,7213.0,9906.39178979467,4543.764678343074
32,11786.0,4957.0,4414.0,9892.0,5534.0,6960.0,7257.0,9961.460909224574,4576.812853866197
33,11850.0,4997.0,4433.0,9956.0,5568.0,7010.0,7302.0,10021.197964736766,4607.2259894376075
34,11904.0,5047.0,4472.0,10024.0,5615.0,7065.0,7354.0,10079.411703280985,4653.085997308216
35,11980.0,5098.0,4528.0,10109.0,5681.0,7138.0,7422.0,10157.058848500687,4711.507358635376
36,12081.0,5130.0,4574.0,10184.0,5756.0,7211.0,7489.0,10242.548239047557,4760.183795579715
37,12145.0,5155.0,4599.0,10256.0,5789.0,7269.0,7536.0,10306.671029260051,4790.124480331448
38,12239.0,5188.0,4637.0,10343.0,5843.0,7315.0,7594.0,10387.133033505053,4825.936011352194
39,12462.0,5302.0,4755.0,10551.0,5935.0,7415.0,7737.0,10577.676487170249,4921.764907560744
40,12565.0,5345.0,4817.0,10665.0,6000.0,7490.0,7814.0,10676.800011310937,4976.839804697251
41,12661.0,5395.0,4886.0,10764.0,6068.0,7584.0,7893.0,10770.632823462136,5041.176064006622
42,12828.0,5456.0,4958.0,10916.0,6146.0,7662.0,7994.0,10912.038937042347,5102.168380374404
43,12987.0,5557.0,5060.0,11082.0,6228.0,7761.0,8112.0,11058.803627500078,5191.679691272939
44,13077.0,5620.0,5094.0,11190.0,6303.0,7836.0,8187.0,11152.324699156667,5248.234639406989
45,13249.0,5682.0,5135.0,11305.0,6375.0,7901.0,8274.0,11281.06666909481,5293.95713637415
46,13350.0,5720.0,5172.0,11389.0,6440.0,7961.0,8339.0,11368.047029143308,5337.083821714126
47,13429.0,5772.0,5208.0,11480.0,6529.0,8025.0,8407.0,11448.749684450899,5392.549151229345
48,13668.0,5872.0,5307.0,11678.0,6609.0,8131.0,8544.0,11642.652364527275,5473.156819406679
49,13760.0,5907.0,5348.0,11760.0,6668.0,8189.0,8605.0,11723.234741766872,5514.768090087371
50,13892.0,5962.0,5402.0,11890.0,6727.0,8253.0,8688.0,11839.6672156329,5564.563390111527
51,13945.0,5992.0,5425.0,11953.0,6784.0,8324.0,8737.0,11898.09334611573,5604.275857941265
52,14191.0,6088.0,5551.0,12204.0,6881.0,8451.0,8894.0,12116.628622428472,5700.31049637342
53,14468.0,6202.0,5688.0,12441.0,7001.0,8598.0,9066.0,12349.008209670195,5812.472441058084
54,14548.0,6246.0,5735.0,12533.0,7062.0,8670.0,9132.0,12430.151134311753,5863.465330149576
55,14617.0,6287.0,5767.0,12616.0,7130.0,8735.0,9192.0,12503.211862747536,5910.48570452168
56,14785.0,6379.0,5845.0,12770.0,7206.0,8821.0,9301.0,12647.880687047767,5984.136786453057
57,14913.0,6456.0,5918.0,12904.0,7281.0,8895.0,9394.0,12765.63782441822,6052.655743923704
58,15004.0,6521.0,5965.0,13025.0,7342.0,8964.0,9470.0,12861.883126355791,6108.55598303734
59,15054.0,6553.0,5991.0,13080.0,7403.0,9027.0,9518.0,12916.048459532814,6150.427927027149
60,15118.0,6603.0,6027.0,13160.0,7447.0,9091.0,9574.0,12983.809364870991,6194.808538972161
61,15174.0,6640.0,6051.0,13230.0,7524.0,9140.0,9626.0,13044.589858267238,6238.124813096121
62,15214.0,6679.0,6082.0,13251.0,7552.0,9161.0,9656.0,13074.655527988689,6268.059732352736
63,15184.0,6666.0,6064.0,13223.0,7589.0,9163.0,9648.0,13054.856000702674,6271.717397273124
64,15170.0,6669.0,6075.0,13234.0,7616.0,9161.0,9654.0,13053.96605025067,6284.5455531986145
65,15168.0,6672.0,6089.0,13250.0,7648.0,9191.0,9670.0,13065.435500505824,6304.981412148906
66,15201.0,6701.0,6113.0,13334.0,7683.0,9238.0,9712.0,13118.083856585923,6336.428558953491
67,15220.0,6735.0,6153.0,13379.0,7731.0,9266.0,9747.0,13148.709115248084,6375.836139145731
68,15034.0,6685.0,6109.0,13262.0,7703.0,9211.0,9667.0,13017.264502706501,6346.819355687276
69,15071.0,6699.0,6156.0,13314.0,7726.0,9217.0,9697.0,13053.69705854686,6370.426474353284
70,15066.0,6738.0,6192.0,13400.0,7783.0,9287.0,9744.0,13095.545151831004,6422.550192437673
71,15045.0,6743.0,6174.0,13401.0,7769.0,9306.0,9740.0,13089.564833143042,6420.440675063361
72,15092.0,6788.0,6268.0,13536.0,7870.0,9383.0,9823.0,13174.760454277295,6501.2827657517355
73,15016.0,6779.0,6293.0,13591.0,7902.0,9390.0,9828.0,13163.90211972428,6522.070942517638
74,14981.0,6779.0,6297.0,13601.0,7874.0,9372.0,9817.0,13148.132675947012,6515.7795930827415
75,14965.0,6796.0,6322.0,13601.0,7918.0,9383.0,9831.0,13146.50485992563,6545.21319125015
76,14924.0,6809.0,6322.0,13601.0,7944.0,9400.0,9833.0,13133.091196431078,6562.542668042795
77,15015.0,6857.0,6404.0,13747.0,7971.0,9465.0,9910.0,13235.512112370636,6614.295691762178
78,14910.0,6850.0,6365.0,13693.0,7955.0,9456.0,9872.0,13170.003479740577,6603.521564988575
79,14810.0,6827.0,6357.0,13667.0,7966.0,9467.0,9849.0,13120.258830073422,6607.080406794529
80,14795.0,6839.0,6377.0,13699.0,7973.0,9464.0,9858.0,13125.706455021698,6619.582902243743
81,14780.0,6858.0,6371.0,13703.0,7981.0,9469.0,9860.0,13121.99569355355,6627.296500299746
82,14776.0,6837.0,6366.0,13686.0,7967.0,9459.0,9848.0,13111.315127144117,6614.006917462091
83,14731.0,6836.0,6348.0,13656.0,7981.0,9457.0,9835.0,13083.184797112146,6615.929474480784
84,14762.0,6854.0,6366.0,13687.0,7963.0,9441.0,9846.0,13104.131205519654,6617.036233076415
85,14761.0,6870.0,6360.0,13672.0,7965.0,9435.0,9844.0,13097.493682621367,6619.668203256888
86,14727.0,6867.0,6368.0,13638.0,7960.0,9423.0,9830.0,13068.024956520196,6621.070265806253
87,14699.0,6885.0,6370.0,13663.0,7971.0,9420.0,9835.0,13066.808715166875,6632.140662975446
88,14804.0,6943.0,6421.0,13745.0,7987.0,9449.0,9892.0,13146.306575249831,6666.8265610329145
89,14854.0,6968.0,6439.0,13785.0,7997.0,9450.0,9916.0,13182.8270465975,6678.418383188326
90,14806.0,6969.0,6448.0,13784.0,8013.0,9456.0,9913.0,13164.110052186572,6691.012435622426
91,14735.0,6971.0,6405.0,13722.0,7999.0,9438.0,9878.0,13108.154883504594,6676.851736763415
92,14716.0,6960.0,6378.0,13679.0,7970.0,9408.0,9852.0,13078.861861962869,6654.061168678172
