,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,4754.0,8171.0,4483.0,7713.0,4645.0,5953.0,7585.573969738176,4340.002616746576
2,4820.0,8325.0,4553.0,7811.0,4716.0,6045.0,7706.931767552447,4402.972324924368
3,4911.0,8520.0,4664.0,7967.0,4811.0,6175.0,7875.094193468899,4495.218750233816
4,5028.0,8781.0,4830.0,8235.0,4955.0,6366.0,8124.74084693188,4628.298578432842
5,5142.0,8983.0,4937.0,8423.0,5020.0,6501.0,8308.802312201198,4714.8487959275335
6,5210.0,9112.0,5013.0,8544.0,5109.0,6598.0,8429.010722706633,4788.870140470768
7,5284.0,9241.0,5076.0,8647.0,5197.0,6689.0,8540.935528035467,4859.244140667421
8,5359.0,9367.0,5135.0,8746.0,5270.0,6775.0,8649.192377176545,4923.302042844053
9,5439.0,9514.0,5192.0,8833.0,5351.0,6866.0,8764.147667244744,4990.561361178629
10,5528.0,9648.0,5258.0,8930.0,5422.0,6957.0,8876.326800382536,5060.684075783237
11,5597.0,9755.0,5321.0,9047.0,5514.0,7047.0,8984.262441350336,5132.915044398731
12,5691.0,9879.0,5379.0,9134.0,5589.0,7134.0,9087.67977587594,5203.766623529582
13,5796.0,9995.0,5443.0,9212.0,5666.0,7222.0,9185.11392095993,5282.445466311817
14,5892.0,10162.0,5526.0,9342.0,5798.0,7344.0,9330.789973801962,5381.004776465555
15,5972.0,10299.0,5605.0,9446.0,5898.0,7444.0,9448.886530455027,5463.124952860238
16,6054.0,10431.0,5686.0,9546.0,5975.0,7538.0,9561.691742006837,5538.593154428092
17,6121.0,10536.0,5742.0,9615.0,6047.0,7612.0,9648.221541646848,5600.189322094121
18,6190.0,10661.0,5810.0,9718.0,6131.0,7702.0,9758.880453502341,5669.753733989336
19,6283.0,10806.0,5876.0,9832.0,6223.0,7804.0,9885.104226126121,5747.820076892473
20,6385.0,10992.0,6013.0,10182.0,6458.0,8006.0,10134.246508278587,5903.242393336562
21,6484.0,11124.0,6114.0,10345.0,6587.0,8131.0,10276.91140699393,6010.764958992844
22,6576.0,11281.0,6179.0,10434.0,6652.0,8224.0,10396.485274211696,6077.5816452090685
23,6657.0,11471.0,6297.0,10649.0,6825.0,8380.0,10590.352226833242,6196.095913362986
24,6736.0,11603.0,6371.0,10767.0,6932.0,8482.0,10712.210879416263,6278.475097541177
25,6816.0,11730.0,6432.0,10860.0,7004.0,8568.0,10818.76001978591,6344.244355664858
26,6896.0,11830.0,6499.0,10979.0,7062.0,8653.0,10922.874482579746,6410.334721008044
27,6967.0,11949.0,6561.0,11064.0,7111.0,8730.0,11021.000101847807,6466.486208192098
28,7033.0,12070.0,6623.0,11157.0,7186.0,8814.0,11125.4502301946,6530.208708244845
29,7095.0,12157.0,6684.0,11245.0,7256.0,8887.0,11209.830055485478,6592.037465396698
30,7192.0,12259.0,6740.0,11328.0,7310.0,8966.0,11301.267900406005,6658.676289890525
31,7257.0,12378.0,6790.0,11413.0,7362.0,9040.0,11399.264546421193,6708.991138093697
32,7342.0,12486.0,6838.0,11485.0,7404.0,9111.0,11487.393906741894,6763.0669272132745
33,7412.0,12594.0,6905.0,11556.0,7452.0,9184.0,11575.155905972395,6821.45762591888
34,7496.0,12699.0,6956.0,11643.0,7516.0,9262.0,11668.949854068422,6883.87693257697
35,7606.0,12879.0,7026.0,11730.0,7588.0,9366.0,11801.740086024505,6959.407407417956
36,7684.0,13008.0,7101.0,11833.0,7676.0,9460.0,11914.43049742026,7035.013133673217
37,7747.0,13093.0,7159.0,11914.0,7738.0,9530.0,11995.377002948366,7094.173632712855
38,7813.0,13182.0,7213.0,12017.0,7830.0,9611.0,12088.742763080945,7162.931873419175
39,7877.0,13275.0,7275.0,12129.0,7904.0,9692.0,12186.390346357202,7227.483669590087
40,7963.0,13371.0,7341.0,12207.0,7975.0,9771.0,12272.738408920219,7299.2718044792055
41,8041.0,13500.0,7429.0,12374.0,8096.0,9888.0,12413.711543308142,7392.5375903261465
42,8131.0,13605.0,7514.0,12528.0,8200.0,9996.0,12537.655733309817,7484.736156629053
43,8199.0,13710.0,7587.0,12663.0,8309.0,10094.0,12652.808915622007,7565.78840907883
44,8279.0,13823.0,7678.0,12801.0,8384.0,10193.0,12771.358625172224,7645.521035181944
45,8355.0,13951.0,7795.0,12960.0,8458.0,10304.0,12906.166129720903,7732.974561940502
46,8442.0,14064.0,7857.0,13039.0,8513.0,10383.0,13000.21814146242,7797.1269191091005
47,8529.0,14187.0,7918.0,13164.0,8602.0,10480.0,13119.804310929127,7871.8112524479475
48,8602.0,14294.0,8029.0,13371.0,8706.0,10600.0,13265.083763536648,7966.88275239374
49,8686.0,14404.0,8107.0,13457.0,8773.0,10685.0,13361.294951358439,8040.805835148787
50,8760.0,14505.0,8178.0,13558.0,8832.0,10767.0,13459.118843340068,8107.0750651686685
51,8838.0,14633.0,8248.0,13631.0,8897.0,10849.0,13557.424092838244,8173.06148771782
