,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,5833.0,8124.0,3929.0,6995.0,3843.0,5745.0,7426.983640427774,4083.1365037484716
2,5919.0,8250.0,4019.0,7126.0,3928.0,5848.0,7547.386320607138,4169.014537807077
3,6029.0,8413.0,4111.0,7269.0,4002.0,5965.0,7696.3521209351575,4254.359283886646
4,6151.0,8630.0,4204.0,7487.0,4113.0,6117.0,7898.505543073049,4356.830622327715
5,6269.0,8765.0,4287.0,7617.0,4185.0,6225.0,8031.025655041109,4440.555974922774
6,6362.0,8885.0,4367.0,7739.0,4255.0,6322.0,8148.087146514828,4517.7347495409795
7,6461.0,9043.0,4432.0,7858.0,4335.0,6426.0,8283.355907376577,4590.864579333158
8,6550.0,9169.0,4507.0,7992.0,4396.0,6523.0,8407.058960506987,4661.481334796
9,6673.0,9320.0,4598.0,8122.0,4472.0,6637.0,8547.48454586788,4749.3963339726215
10,6794.0,9444.0,4673.0,8267.0,4539.0,6743.0,8680.16769193239,4829.080950801084
11,6902.0,9569.0,4734.0,8390.0,4606.0,6840.0,8803.658668574217,4899.88314734185
12,7000.0,9718.0,4816.0,8512.0,4682.0,6946.0,8936.067905039088,4979.717903591241
13,7108.0,9871.0,4882.0,8644.0,4746.0,7050.0,9075.38296790179,5048.89808787363
14,7223.0,10052.0,4955.0,8773.0,4838.0,7168.0,9228.23177498714,5132.466646841611
15,7321.0,10212.0,5044.0,8925.0,4923.0,7285.0,9375.901719354595,5219.139923145118
16,7415.0,10320.0,5119.0,9041.0,4992.0,7377.0,9485.002719795842,5294.291925508883
17,7500.0,10424.0,5181.0,9156.0,5055.0,7463.0,9590.962726803895,5360.546873437136
18,7582.0,10563.0,5243.0,9295.0,5128.0,7562.0,9721.25018621434,5428.634127668386
19,7694.0,10697.0,5326.0,9440.0,5197.0,7671.0,9857.607730404945,5510.556034297686
20,7771.0,10827.0,5389.0,9578.0,5262.0,7765.0,9981.900238320766,5574.698616089956
21,7880.0,10955.0,5456.0,9704.0,5352.0,7869.0,10107.240350513472,5657.61408335235
22,7991.0,11143.0,5551.0,9847.0,5458.0,7998.0,10267.329592633032,5755.848987711854
23,8107.0,11276.0,5641.0,9968.0,5524.0,8103.0,10394.674271502534,5838.796016827184
24,8208.0,11449.0,5722.0,10083.0,5604.0,8213.0,10535.954275629778,5917.890637051987
25,8310.0,11586.0,5785.0,10238.0,5687.0,8321.0,10674.911078750993,5995.304587472085
26,8404.0,11727.0,5849.0,10366.0,5738.0,8417.0,10805.578440551339,6057.00422237625
27,8517.0,11867.0,5907.0,10508.0,5809.0,8522.0,10944.058600997645,6128.9009361519165
28,8621.0,12009.0,5975.0,10623.0,5877.0,8621.0,11071.1999918374,6200.144779215411
29,8734.0,12119.0,6050.0,10748.0,5944.0,8719.0,11188.868498523758,6278.711832004847
30,8864.0,12275.0,6134.0,10905.0,6025.0,8841.0,11343.4262360091,6368.495822599975
31,8962.0,12402.0,6197.0,11009.0,6108.0,8936.0,11458.334844279536,6443.825649398764
32,9051.0,12514.0,6247.0,11134.0,6152.0,9020.0,11573.152769942815,6497.3768140368165
33,9139.0,12632.0,6322.0,11241.0,6209.0,9109.0,11683.30461807974,6565.478290606879
34,9258.0,12778.0,6402.0,11372.0,6302.0,9222.0,11819.98888886513,6655.1740665781845
35,9386.0,12965.0,6501.0,11577.0,6407.0,9367.0,12005.394240189791,6760.228532988237
36,9503.0,13102.0,6574.0,11729.0,6513.0,9484.0,12145.775754391543,6854.127047028012
37,9591.0,13215.0,6629.0,11835.0,6565.0,9567.0,12253.862556961185,6912.316598555533
38,9688.0,13322.0,6698.0,11945.0,6618.0,9654.0,12361.74049101214,6978.712806164462
39,9772.0,13432.0,6757.0,12055.0,6674.0,9738.0,12468.924312389488,7039.782547857268
40,9858.0,13566.0,6826.0,12157.0,6736.0,9829.0,12584.730441582897,7106.225310014983
