,YM13-MS_NT,YM14-MS_NT,YM3-MS_NT,YM5-MS_NT,YM7-MS_NT,Mean,Std_dev_upper,Std_dev_lower
1,5413.0,3459.0,3594.0,2220.0,2757.0,3489.0,4571.578896278081,2419.338385554248
2,5504.0,3520.0,3656.0,2258.0,2812.0,3550.0,4649.468962727007,2463.6988052504566
3,5652.0,3614.0,3758.0,2296.0,2921.0,3648.0,4778.106617389114,2531.452178462506
4,5985.0,3810.0,4017.0,2339.0,3111.0,3852.0,5069.943129487853,2648.6917326102093
5,6233.0,3910.0,4108.0,2373.0,3164.0,3958.0,5249.749924198437,2681.6724912795344
6,6361.0,3973.0,4163.0,2410.0,3248.0,4031.0,5349.3639861586025,2728.4253736760966
7,6418.0,4035.0,4225.0,2455.0,3301.0,4087.0,5408.856938804902,2780.950154875601
8,6483.0,4092.0,4277.0,2508.0,3365.0,4145.0,5469.737407941664,2836.1282830511727
9,6565.0,4156.0,4338.0,2552.0,3415.0,4205.0,5542.624673317096,2883.4194586040135
10,6630.0,4220.0,4390.0,2603.0,3481.0,4265.0,5605.7292667301135,2940.3038510254737
11,6681.0,4267.0,4445.0,2644.0,3541.0,4316.0,5658.272351896837,2989.755144622809
12,6725.0,4322.0,4505.0,2679.0,3585.0,4363.0,5707.769782032102,3034.359923147016
13,6796.0,4382.0,4558.0,2730.0,3650.0,4423.0,5773.171310118337,3089.023086358655
14,6915.0,4475.0,4646.0,2771.0,3748.0,4511.0,5882.751143611697,3155.6776064433266
15,7168.0,4604.0,4754.0,2827.0,3854.0,4641.0,6076.954827516056,3222.291048165119
16,7309.0,4687.0,4825.0,2874.0,3926.0,4724.0,6190.499153312632,3275.0884413456342
17,7383.0,4755.0,4892.0,2900.0,3967.0,4779.0,6261.170390564684,3314.628985029199
18,7477.0,4824.0,4958.0,2944.0,4034.0,4847.0,6344.473027024749,3367.5096203350167
19,7573.0,4914.0,5021.0,2987.0,4114.0,4922.0,6434.266830511952,3427.820703580366
20,7697.0,4980.0,5088.0,3029.0,4180.0,4995.0,6533.769562561811,3474.6353809887987
21,7743.0,5033.0,5146.0,3080.0,4222.0,5045.0,6583.057400315953,3525.3390140372894
22,7771.0,5086.0,5197.0,3136.0,4275.0,5093.0,6621.497432120839,3582.8085867142854
23,7877.0,5149.0,5252.0,3185.0,4337.0,5160.0,6707.166959316285,3631.3626547367967
24,7961.0,5194.0,5314.0,3228.0,4404.0,5220.0,6779.263469291404,3679.435115405937
25,8021.0,5253.0,5355.0,3278.0,4453.0,5272.0,6834.757050855955,3727.959277615725
26,8095.0,5317.0,5399.0,3303.0,4475.0,5318.0,6898.453405408292,3756.4507638794003
27,8191.0,5375.0,5450.0,3354.0,4530.0,5380.0,6975.858515031956,3803.2542524614337
28,8270.0,5438.0,5503.0,3413.0,4572.0,5439.0,7043.682076508199,3853.5604632585246
29,8316.0,5494.0,5549.0,3446.0,4612.0,5483.0,7091.625210130273,3893.6886494372457
30,8386.0,5557.0,5601.0,3495.0,4657.0,5539.0,7155.504675733005,3941.8794571639955
31,8442.0,5608.0,5664.0,3527.0,4696.0,5587.0,7211.492248878605,3982.0116420018394
