,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,3924.0,5272.0,5565.0,4920.0,5634.596564503357,4223.548716460692
2,3985.0,5348.0,5649.0,4994.0,5717.975598115479,4288.355873450835
3,4056.0,5459.0,5757.0,5091.0,5832.665861422784,4368.062231871828
4,4171.0,5595.0,5912.0,5226.0,5983.1397933451035,4488.031414399411
5,4244.0,5682.0,6016.0,5314.0,6082.792993377714,4564.673279981734
6,4351.0,5794.0,6168.0,5438.0,6221.412354170309,4674.372784292787
7,4405.0,5879.0,6274.0,5519.0,6323.284516407803,4735.1317150088125
8,4461.0,5939.0,6352.0,5584.0,6395.783632913763,4792.771187750766
9,4530.0,6016.0,6473.0,5673.0,6502.477345481278,4864.5254899915935
10,4612.0,6118.0,6619.0,5783.0,6635.909139357763,4951.687002387188
11,4666.0,6192.0,6709.0,5856.0,6723.295557081514,5010.613552141759
12,4707.0,6262.0,6800.0,5923.0,6810.450655905254,5058.020096572566
13,4770.0,6367.0,6927.0,6021.0,6934.884155678388,5130.307201340197
14,4849.0,6469.0,7051.0,6123.0,7054.660882510369,5214.9292979068205
15,4931.0,6579.0,7183.0,6231.0,7182.736658255143,5303.361852157139
16,4990.0,6681.0,7288.0,6320.0,7292.324491446486,5372.244010421206
17,5051.0,6756.0,7395.0,6401.0,7390.370296367004,5436.629815010697
18,5144.0,6864.0,7526.0,6511.0,7514.912803318429,5532.55813046814
19,5208.0,6974.0,7641.0,6608.0,7634.489933381392,5607.45006838239
20,5282.0,7064.0,7766.0,6704.0,7749.550572664948,5684.923359113751
21,5329.0,7134.0,7868.0,6777.0,7843.838631971427,5737.174325507716
22,5396.0,7212.0,7975.0,6861.0,7942.730403874582,5806.659621690731
23,5484.0,7361.0,8134.0,6993.0,8105.712301840267,5908.462202902391
24,5562.0,7459.0,8232.0,7084.0,8205.75647238308,5990.698330276849
25,5615.0,7528.0,8324.0,7156.0,8292.850730453798,6047.883669581703
26,5661.0,7614.0,8411.0,7229.0,8384.273813142725,6102.927069836069
27,5740.0,7706.0,8508.0,7318.0,8480.859693456896,6184.584571600804
28,5795.0,7821.0,8622.0,7413.0,8602.687458957183,6253.384797121952
29,5847.0,7885.0,8709.0,7480.0,8682.934571509744,6307.575706832413
