,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,5718.0,3508.0,2732,3677.0,4140.0,5153.0,4155.0,5164.225728679452,3154.7897640378415
2,5806.0,3561.0,2776,3750.0,4231.0,5244.0,4228.0,5253.022438778781,3212.1707732806944
3,5918.0,3619.0,2822,3843.0,4329.0,5339.0,4312.0,5357.192440699433,3276.145630095366
4,6070.0,3711.0,2883,3931.0,4435.0,5540.0,4428.0,5514.34551199357,3351.433727257682
5,6188.0,3777.0,2938,3998.0,4491.0,5643.0,4506.0,5614.320565626424,3407.6017101636407
6,6289.0,3833.0,2972,4045.0,4556.0,5715.0,4568.0,5696.314630217079,3449.841021439287
7,6379.0,3887.0,3012,4119.0,4623.0,5807.0,4638.0,5783.651550948401,3502.605538681166
8,6479.0,3941.0,3051,4181.0,4687.0,5888.0,4704.0,5868.822999020718,3549.678102618722
9,6582.0,4010.0,3096,4257.0,4758.0,5990.0,4782.0,5966.204716053694,3608.4341863878326
10,6682.0,4073.0,3143,4335.0,4834.0,6071.0,4856.0,6055.297254546138,3667.495025670642
11,6780.0,4122.0,3182,4388.0,4899.0,6164.0,4922.0,6143.202393428004,3711.804363619258
12,6871.0,4177.0,3230,4450.0,4979.0,6249.0,4993.0,6229.492986135346,3767.560819941349
13,6963.0,4253.0,3277,4531.0,5041.0,6332.0,5066.0,6314.312518104798,3828.9013538657437
14,7089.0,4332.0,3341,4626.0,5129.0,6420.0,5156.0,6420.187147085882,3903.1691011260464
15,7205.0,4400.0,3381,4694.0,5209.0,6537.0,5238.0,6529.250003457337,3958.2949070194936
16,7294.0,4445.0,3425,4748.0,5269.0,6632.0,5302.0,6612.378244194073,4003.392282346812
17,7375.0,4489.0,3464,4798.0,5326.0,6710.0,5360.0,6686.221539347243,4045.709098615731
18,7495.0,4555.0,3514,4853.0,5401.0,6791.0,5435.0,6782.024922878987,4100.038242589982
19,7609.0,4636.0,3568,4934.0,5487.0,6889.0,5520.0,6884.693232579256,4167.6004646902475
20,7688.0,4684.0,3612,5000.0,5566.0,6980.0,5588.0,6967.352712239297,4221.054448241286
21,7788.0,4740.0,3657,5055.0,5665.0,7062.0,5661.0,7058.523932838771,4276.028185226614
22,7911.0,4802.0,3696,5131.0,5755.0,7155.0,5742.0,7164.693187149606,4332.030610096181
