,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,6010.0,4392.0,3417.0,4176.0,1754.0,7770.0,4586.0,6490.300033883216,2698.8332861273884
2,6127.0,4482.0,3468.0,4254.0,1785.0,7934.0,4675.0,6622.34109321745,2745.124202121262
3,6279.0,4617.0,3519.0,4328.0,1834.0,8167.0,4791.0,6800.06269308897,2799.9201306465015
4,6651.0,4888.0,3609.0,4448.0,1890.0,8550.0,5006.0,7137.209124730216,2893.9052445611296
5,6836.0,5023.0,3679.0,4529.0,1922.0,8744.0,5122.0,7310.621288130302,2953.0260170934685
6,6909.0,5106.0,3729.0,4585.0,1959.0,8878.0,5194.0,7411.474367704974,2996.449731996488
7,6975.0,5168.0,3787.0,4667.0,1998.0,9032.0,5271.0,7519.664301948413,3042.521516533101
8,7053.0,5250.0,3842.0,4744.0,2024.0,9171.0,5347.0,7627.854497352962,3086.63804554338
9,7162.0,5327.0,3906.0,4828.0,2060.0,9352.0,5439.0,7764.005120322063,3134.8653830232784
10,7235.0,5390.0,3956.0,4893.0,2097.0,9523.0,5516.0,7880.253773342004,3172.9146853056777
11,7322.0,5448.0,4026.0,4959.0,2125.0,9674.0,5592.0,7991.635160761299,3213.9227011816492
12,7383.0,5518.0,4076.0,5039.0,2142.0,9848.0,5668.0,8110.638785841091,3247.232691664944
13,7469.0,5594.0,4137.0,5118.0,2160.0,9997.0,5746.0,8226.10399167531,3288.121523568656
14,7599.0,5684.0,4185.0,5190.0,2195.0,10170.0,5837.0,8364.0146700914,3332.667614731495
15,7769.0,5801.0,4244.0,5279.0,2231.0,10357.0,5947.0,8527.18697181499,3389.936166781565
16,7867.0,5897.0,4297.0,5326.0,2258.0,10512.0,6026.0,8646.66730869394,3428.85492709033
17,7933.0,5962.0,4337.0,5400.0,2272.0,10654.0,6093.0,8750.357961083402,3459.475327174444
18,8002.0,6020.0,4388.0,5460.0,2299.0,10783.0,6159.0,8846.067404829146,3495.996302050855
19,8121.0,6118.0,4458.0,5536.0,2336.0,10944.0,6252.0,8978.173412714326,3550.295085286396
20,8210.0,6194.0,4520.0,5589.0,2366.0,11092.0,6328.0,9089.883527422477,3590.941281385094
21,8289.0,6271.0,4570.0,5677.0,2392.0,11226.0,6404.0,9197.171043131888,3635.898342625765
22,8376.0,6331.0,4633.0,5770.0,2441.0,11396.0,6491.0,9319.791109795338,3687.5977449019315
23,8453.0,6419.0,4675.0,5847.0,2455.0,11543.0,6565.0,9432.811808928294,3722.9450318451527
24,8549.0,6511.0,4746.0,5929.0,2497.0,11683.0,6652.0,9548.809731247053,3781.2252026582432
25,8625.0,6584.0,4790.0,6016.0,2520.0,11820.0,6726.0,9656.239832537685,3822.0228570698623
26,8701.0,6637.0,4858.0,6095.0,2534.0,11951.0,6796.0,9757.987508413902,3860.577938597002
27,8798.0,6740.0,4913.0,6179.0,2561.0,12087.0,6880.0,9875.146725080744,3911.6800810167474
28,8874.0,6800.0,4963.0,6251.0,2599.0,12217.0,6951.0,9974.065040334932,3955.0121593119743
29,8947.0,6859.0,5007.0,6322.0,2631.0,12349.0,7019.0,10072.418326431947,3992.9851628612955
30,9031.0,6949.0,5058.0,6388.0,2665.0,12470.0,7094.0,10174.425882738882,4041.1477537723904
31,9098.0,7014.0,5119.0,6461.0,2703.0,12592.0,7164.0,10267.83616712947,4088.05554385073
32,9167.0,7080.0,5166.0,6523.0,2720.0,12706.0,7227.0,10359.119516663863,4122.971808777382
33,9218.0,7133.0,5221.0,6590.0,2745.0,12815.0,7287.0,10441.234983848435,4161.054690596626
34,9293.0,7197.0,5295.0,6675.0,2780.0,12947.0,7364.0,10544.339492210585,4212.2383611840905
35,9415.0,7292.0,5369.0,6760.0,2814.0,13117.0,7461.0,10683.304735670388,4267.613460555227
36,9497.0,7351.0,5436.0,6822.0,2845.0,13248.0,7533.0,10784.459130327563,4310.720545574606
37,9572.0,7401.0,5481.0,6895.0,2873.0,13345.0,7594.0,10866.739517954484,4350.667052052453
38,9645.0,7465.0,5523.0,6955.0,2891.0,13443.0,7654.0,10951.176909331462,4386.358742512211
39,9708.0,7527.0,5580.0,7009.0,2912.0,13532.0,7711.0,11026.8777477608,4424.897702999593
40,9792.0,7616.0,5634.0,7085.0,2934.0,13654.0,7786.0,11131.413996731018,4470.572303245832
41,9869.0,7688.0,5681.0,7162.0,2953.0,13779.0,7855.0,11231.733861504126,4508.587395048046
42,9967.0,7782.0,5729.0,7232.0,2983.0,13890.0,7930.0,11333.363182556477,4557.214923921046
43,10071.0,7850.0,5772.0,7303.0,3006.0,14012.0,8002.0,11438.21597663698,4596.638762599165
44,10213.0,7941.0,5821.0,7374.0,3042.0,14159.0,8092.0,11568.23827886245,4646.903337057156
45,10415.0,8084.0,5880.0,7452.0,3076.0,14345.0,8209.0,11741.646209018849,4708.001317859679
46,10507.0,8167.0,5921.0,7518.0,3103.0,14465.0,8280.0,11843.083329017694,4748.891239234155
47,10617.0,8269.0,5956.0,7585.0,3118.0,14612.0,8360.0,11966.665997711407,4785.627376904046
48,10694.0,8322.0,6009.0,7649.0,3133.0,14714.0,8420.0,12052.1446111341,4820.449353331647
49,10794.0,8397.0,6064.0,7730.0,3160.0,14858.0,8500.0,12168.328495702226,4864.626029514952
50,10857.0,8463.0,6113.0,7809.0,3185.0,14983.0,8568.0,12264.452475653095,4904.73627045443
51,10936.0,8522.0,6169.0,7879.0,3221.0,15125.0,8642.0,12370.075106539567,4947.361220053344
52,11027.0,8592.0,6229.0,7948.0,3238.0,15277.0,8718.0,12485.98482202989,4983.863500026313
53,11120.0,8679.0,6290.0,8029.0,3262.0,15388.0,8795.0,12588.911776969593,5035.078986280079
54,11196.0,8755.0,6340.0,8102.0,3295.0,15529.0,8870.0,12696.162779998731,5078.099215550678
55,11277.0,8837.0,6402.0,8171.0,3320.0,15676.0,8947.0,12808.406713818658,5120.243454556647
56,11354.0,8913.0,6448.0,8242.0,3347.0,15770.0,9012.0,12894.107448035826,5164.746398781717
57,11411.0,8979.0,6496.0,8320.0,3371.0,15881.0,9076.0,12982.07687730651,5204.9919463204915
58,11493.0,9065.0,6543.0,8383.0,3406.0,16022.0,9152.0,13091.109628668219,5248.219422454811
59,11554.0,9122.0,6591.0,8458.0,3431.0,16119.0,9212.0,13171.331376934868,5288.233092517188
60,11628.0,9174.0,6638.0,8520.0,3464.0,16235.0,9276.0,13260.96992281175,5326.82449341714
61,11739.0,9253.0,6688.0,8587.0,3498.0,16356.0,9354.0,13368.868402041877,5375.086054922927
62,11760.0,9277.0,6687.0,8598.0,3513.0,16402.0,9373.0,13399.34339604276,5382.750017482811
63,11772.0,9277.0,6687.0,8594.0,3518.0,16420.0,9378.0,13409.685710303653,5382.4736363503935
64,11769.0,9301.0,6682.0,8590.0,3514.0,16428.0,9381.0,13416.28444740003,5381.8711369631
65,11758.0,9303.0,6695.0,8593.0,3522.0,16497.0,9395.0,13445.84290464284,5380.452220276403
66,11769.0,9317.0,6704.0,8584.0,3521.0,16536.0,9405.0,13467.804836914658,5378.651629155932
67,11769.0,9359.0,6709.0,8582.0,3529.0,16577.0,9421.0,13493.260077998106,5385.245152656082
68,11695.0,9321.0,6682.0,8561.0,3504.0,16551.0,9386.0,13453.413089187678,5355.030650258676
69,11667.0,9324.0,6671.0,8542.0,3521.0,16564.0,9382.0,13448.369259226338,5352.047098196561
70,11661.0,9326.0,6667.0,8526.0,3521.0,16588.0,9382.0,13455.873949004921,5344.609716416962
71,11736.0,9339.0,6669.0,8479.0,3507.0,16586.0,9386.0,13471.178249884983,5337.460860178493
72,11653.0,9386.0,6698.0,8521.0,3520.0,16633.0,9402.0,13485.305826923875,5355.298470744998
73,11610.0,9419.0,6705.0,8541.0,3523.0,16652.0,9408.0,13490.800987650746,5361.8528376425475
74,11549.0,9431.0,6704.0,8516.0,3505.0,16672.0,9396.0,13484.641886518122,5344.046306653066
75,11461.0,9436.0,6673.0,8484.0,3501.0,16680.0,9372.0,13460.94170730206,5319.785210199956
76,11445.0,9443.0,6668.0,8464.0,3496.0,16707.0,9370.0,13468.130421592381,5308.678907573527
77,11431.0,9448.0,6667.0,8452.0,3506.0,16667.0,9362.0,13445.19815130948,5315.405180639303
78,11421.0,9454.0,6647.0,8449.0,3490.0,16706.0,9361.0,13461.151518686896,5297.6399019708715
79,11451.0,9486.0,6637.0,8445.0,3480.0,16740.0,9373.0,13489.589827700085,5293.349024717286
