,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,4454.0,5768.0,1591.0,2211.0,2157.0,3236.0,4836.964636294839,1654.2333816212583
2,4527.0,5872.0,1626.0,2251.0,2204.0,3296.0,4922.316451371012,1689.1610949859762
3,4633.0,6048.0,1665.0,2307.0,2264.0,3383.0,5057.884195001752,1728.2232141376144
4,4754.0,6359.0,1723.0,2422.0,2373.0,3526.0,5277.165716506199,1795.8311817259607
5,4852.0,6522.0,1766.0,2480.0,2426.0,3609.0,5403.513685282635,1836.00236905169
6,4927.0,6613.0,1803.0,2540.0,2465.0,3670.0,5484.161587804864,1877.5174820115883
7,5005.0,6713.0,1836.0,2588.0,2499.0,3728.0,5568.144496137917,1909.9180547109822
8,5099.0,6796.0,1864.0,2640.0,2537.0,3787.0,5649.872128372386,1946.462619519433
9,5185.0,6890.0,1908.0,2677.0,2567.0,3845.0,5732.702377671509,1979.9538446252013
10,5271.0,6978.0,1948.0,2728.0,2617.0,3908.0,5815.005471063643,2023.8819343806417
11,5359.0,7077.0,1992.0,2757.0,2666.0,3970.0,5902.202827517512,2060.9622581349113
12,5424.0,7162.0,2038.0,2796.0,2723.0,4029.0,5975.880547611144,2105.388028422829
13,5510.0,7263.0,2075.0,2840.0,2775.0,4093.0,6064.610779709491,2144.953977497312
14,5601.0,7401.0,2108.0,2892.0,2825.0,4165.0,6174.038045101851,2180.071351601323
15,5692.0,7547.0,2147.0,2935.0,2875.0,4239.0,6287.972856498267,2214.5907231144765
16,5771.0,7634.0,2179.0,2986.0,2923.0,4299.0,6367.852499978349,2254.8768709041133
17,5839.0,7709.0,2207.0,3021.0,2957.0,4347.0,6435.017400949204,2283.9414980157217
18,5924.0,7789.0,2251.0,3070.0,3000.0,4407.0,6511.982984887685,2327.2032026571983
19,6043.0,7902.0,2300.0,3120.0,3050.0,4483.0,6618.411342107183,2373.1633689965925
20,6117.0,7997.0,2333.0,3158.0,3094.0,4540.0,6699.141812541888,2406.6930071364327
21,6200.0,8092.0,2354.0,3187.0,3129.0,4592.0,6781.004400787415,2429.2603596452414
22,6288.0,8183.0,2404.0,3229.0,3175.0,4656.0,6865.268966573936,2473.166199977145
23,6382.0,8275.0,2445.0,3274.0,3224.0,4720.0,6951.807608195653,2514.921590855284
24,6460.0,8398.0,2478.0,3315.0,3266.0,4783.0,7047.945532825606,2545.2287351566115
25,6560.0,8474.0,2512.0,3352.0,3304.0,4840.0,7127.241978162054,2580.1993227799967
