,JW24-R_NT,JW26-NP_NT,OM7-MS_NT,OM8-MS_NT,JW24-LF_NT,JW24-NP_NT,Mean,Std_dev_upper,Std_dev_lower
1,9064.0,6560.0,3732.0,2884.0,3851.0,11403.0,6249.0,9357.954272205796,3167.929288998632
2,9259.0,6688.0,3787.0,2935.0,3947.0,11642.0,6376.0,9553.60998835528,3226.925367705183
3,9543.0,6894.0,3895.0,3002.0,4066.0,12065.0,6578.0,9876.854794073384,3308.677885916914
4,10466.0,7480.0,4152.0,3168.0,4342.0,12853.0,7077.0,10643.65195146052,3542.3185855221113
5,10763.0,7747.0,4293.0,3263.0,4438.0,13109.0,7269.0,10908.168697590674,3662.4522269408035
6,10915.0,7878.0,4385.0,3305.0,4511.0,13341.0,7389.0,11087.739804697965,3723.4514381483514
7,11036.0,7967.0,4475.0,3348.0,4582.0,13514.0,7487.0,11224.044732583934,3783.472040710629
8,11135.0,8049.0,4537.0,3390.0,4621.0,13666.0,7566.0,11340.208337046139,3825.677785159002
9,11264.0,8156.0,4622.0,3445.0,4683.0,13841.0,7668.0,11482.388498704297,3887.876008263889
10,11396.0,8258.0,4692.0,3492.0,4739.0,13991.0,7761.0,11613.461105764545,3943.1268491953133
11,11460.0,8333.0,4756.0,3522.0,4814.0,14158.0,7840.0,11725.387748009322,3989.5135364379453
12,11527.0,8407.0,4801.0,3571.0,4884.0,14326.0,7919.0,11837.83718783543,4035.3460803539897
13,11615.0,8498.0,4873.0,3621.0,4954.0,14469.0,8005.0,11950.375478540245,4095.0097696809426
14,11816.0,8659.0,4984.0,3703.0,5029.0,14719.0,8152.0,12160.124819841389,4179.787175490037
15,12236.0,8951.0,5160.0,3799.0,5145.0,15070.0,8394.0,12512.433555659354,4312.449755590056
16,12431.0,9098.0,5242.0,3861.0,5219.0,15263.0,8519.0,12691.253867316002,4384.166205764447
17,12544.0,9193.0,5300.0,3898.0,5280.0,15398.0,8602.0,12807.96332321033,4433.777101418127
18,12652.0,9289.0,5364.0,3957.0,5346.0,15548.0,8693.0,12930.417991902053,4493.550486035967
19,12854.0,9429.0,5447.0,4010.0,5426.0,15774.0,8823.0,13124.83200176722,4559.786266977874
20,13005.0,9553.0,5528.0,4072.0,5501.0,15929.0,8931.0,13269.040137907352,4631.902874053264
21,13076.0,9626.0,5584.0,4127.0,5545.0,16078.0,9006.0,13373.602889457787,4677.569228181122
22,13128.0,9685.0,5638.0,4167.0,5595.0,16252.0,9078.0,13481.029898344354,4714.405898190546
23,13231.0,9767.0,5727.0,4203.0,5673.0,16431.0,9172.0,13612.806495821827,4771.02216966556
24,13320.0,9867.0,5799.0,4261.0,5725.0,16604.0,9263.0,13739.812285331522,4826.3032700559115
25,13391.0,9931.0,5830.0,4291.0,5786.0,16735.0,9327.0,13834.186140460799,4860.273906689975
26,13485.0,10020.0,5904.0,4337.0,5822.0,16864.0,9405.0,13940.798706375968,4909.917960905759
27,13607.0,10123.0,5983.0,4382.0,5878.0,17011.0,9497.0,14067.790475555466,4967.240025599555
28,13720.0,10200.0,6040.0,4418.0,5963.0,17157.0,9583.0,14187.262662649326,5020.032007041699
29,13774.0,10265.0,6088.0,4461.0,6002.0,17268.0,9643.0,14267.94504471855,5059.5351209353585
30,13872.0,10352.0,6154.0,4512.0,6066.0,17408.0,9727.0,14380.580797417751,5115.192232851252
31,13943.0,10417.0,6200.0,4544.0,6125.0,17535.0,9794.0,14474.924196495103,5155.058034473398
32,14011.0,10492.0,6246.0,4572.0,6175.0,17618.0,9852.0,14549.864788542618,5196.305415598077
33,14061.0,10550.0,6293.0,4593.0,6217.0,17707.0,9904.0,14619.661560415563,5230.578164319552
34,14117.0,10641.0,6345.0,4635.0,6284.0,17835.0,9976.0,14714.06030736107,5280.452383958519
35,14240.0,10763.0,6424.0,4712.0,6351.0,17993.0,10080.0,14849.256715573993,5353.571805427788
36,14320.0,10864.0,6524.0,4766.0,6394.0,18153.0,10170.0,14969.082079890259,5413.977902958738
37,14403.0,10934.0,6574.0,4794.0,6442.0,18287.0,10239.0,15071.005863682976,5450.331387187735
38,14498.0,11015.0,6637.0,4837.0,6523.0,18399.0,10318.0,15170.042814752407,5509.492161863175
39,14607.0,11107.0,6705.0,4880.0,6581.0,18528.0,10401.0,15282.448853031434,5563.367878256965
40,14715.0,11204.0,6768.0,4918.0,6634.0,18692.0,10488.0,15410.777260082052,5609.428154669087
41,14835.0,11295.0,6841.0,4966.0,6688.0,18870.0,10582.0,15548.304691187834,5660.2911120151775
42,15065.0,11439.0,6909.0,5024.0,6770.0,19061.0,10711.0,15736.57547995868,5730.53389295559
43,15219.0,11592.0,7006.0,5075.0,6840.0,19213.0,10824.0,15886.633551442419,5806.79016949405
44,15444.0,11788.0,7098.0,5131.0,6913.0,19425.0,10966.0,16093.024896147304,5885.012373052882
45,15850.0,12092.0,7232.0,5204.0,7061.0,19765.0,11201.0,16438.775409283528,6010.165065493688
46,16021.0,12236.0,7316.0,5258.0,7141.0,19922.0,11316.0,16594.52014344569,6084.785762344622
47,16262.0,12362.0,7403.0,5328.0,7220.0,20111.0,11448.0,16782.634780197724,6161.174406052566
48,16412.0,12460.0,7489.0,5379.0,7275.0,20326.0,11557.0,16947.325080752595,6215.001599549139
49,16567.0,12599.0,7596.0,5441.0,7371.0,20545.0,11686.0,17124.856493085743,6295.977528658511
50,16642.0,12672.0,7676.0,5496.0,7439.0,20690.0,11769.0,17230.957171459435,6356.0479995964815
51,16710.0,12758.0,7747.0,5540.0,7514.0,20851.0,11853.0,17344.10801551884,6411.1766215026055
52,16845.0,12866.0,7860.0,5599.0,7598.0,21062.0,11972.0,17507.1755983674,6486.432196605534
53,16959.0,12967.0,7939.0,5652.0,7665.0,21256.0,12073.0,17651.969170016986,6544.067438658964
54,17045.0,13066.0,8012.0,5714.0,7726.0,21438.0,12167.0,17782.191312519146,6602.152146034452
55,17193.0,13183.0,8110.0,5775.0,7792.0,21630.0,12280.0,17940.11698516155,6670.701475773068
