,JW27-LB_NMN,JW29-R_NMN,JW30-LF_NMN,Mean,Std_dev_upper,Std_dev_lower
1,7588.0,2986.0,3540.0,4705.0,6756.330848498115,2705.55870726724
2,7702.0,3036.0,3594.0,4777.0,6857.5604012701315,2749.171861171036
3,7867.0,3087.0,3668.0,4874.0,7003.620780013819,2798.3024224773653
4,8059.0,3149.0,3752.0,4987.0,7173.3708704914025,2855.937975150954
5,8214.0,3189.0,3824.0,5076.0,7310.227439183397,2898.293161891638
6,8358.0,3234.0,3882.0,5158.0,7436.153638365946,2937.530500096883
7,8508.0,3287.0,3941.0,5245.0,7567.451919129149,2981.405173591921
8,8645.0,3340.0,4005.0,5330.0,7689.728091680621,3030.0215580720474
9,8796.0,3381.0,4073.0,5417.0,7823.191510111639,3071.6833186501917
10,8924.0,3435.0,4132.0,5497.0,7936.904233093313,3118.8755219010645
11,9050.0,3492.0,4204.0,5582.0,8051.413425626958,3175.1135188103835
12,9189.0,3542.0,4258.0,5663.0,8173.334771831571,3216.2283242334743
13,9342.0,3591.0,4323.0,5752.0,8308.042644401692,3260.677800845503
14,9511.0,3654.0,4379.0,5848.0,8454.988428564015,3307.021992748986
15,9640.0,3705.0,4444.0,5930.0,8570.89131102866,3355.9262496065817
16,9765.0,3750.0,4504.0,6006.0,8681.544851053706,3398.252754672168
17,9888.0,3783.0,4549.0,6073.0,8788.443533445932,3426.3643295093825
18,10004.0,3845.0,4601.0,6150.0,8892.610799949565,3476.833656503958
19,10162.0,3906.0,4678.0,6249.0,9034.034933952056,3534.4324248307867
20,10314.0,3962.0,4753.0,6343.0,9169.428960130905,3588.1378195391817
21,10473.0,4030.0,4822.0,6442.0,9310.861838778577,3645.7280646933
22,10644.0,4094.0,4890.0,6543.0,9461.230671143046,3698.6092791131673
23,10813.0,4151.0,4979.0,6648.0,9612.669444755464,3758.3463615378037
24,10953.0,4217.0,5049.0,6740.0,9738.576259382666,3817.298086651222
25,11075.0,4276.0,5099.0,6817.0,9846.783751909257,3863.8807855012255
26,11193.0,4322.0,5166.0,6894.0,9953.551641989394,3911.8666352484843
27,11299.0,4368.0,5216.0,6961.0,10047.90341064742,3952.2587294130235
28,11421.0,4408.0,5273.0,7034.0,10156.112852967788,3990.9408100838177
29,11539.0,4460.0,5336.0,7112.0,10262.95798924708,4040.774748443396
30,11685.0,4524.0,5412.0,7207.0,10394.10934861043,4100.590062467609
31,11796.0,4574.0,5470.0,7280.0,10494.176514547182,4147.208252479375
32,11901.0,4621.0,5524.0,7349.0,10589.026375921447,4190.961623733663
33,12018.0,4656.0,5569.0,7414.0,10690.553308483373,4220.46217161346
34,12143.0,4715.0,5625.0,7494.0,10802.030771219237,4269.781736049877
35,12302.0,4796.0,5694.0,7597.0,10943.841035464138,4334.954169661348
36,12425.0,4859.0,5754.0,7679.0,11054.526662611333,4388.994878828646
37,12521.0,4903.0,5791.0,7738.0,11139.231284402753,4422.9411126087725
38,12615.0,4949.0,5841.0,7802.0,11224.96648878328,4465.653658069123
39,12725.0,4993.0,5893.0,7870.0,11322.375160668376,4505.092228235084
40,12842.0,5040.0,5950.0,7944.0,11427.277001139397,4548.92154238914
41,12958.0,5088.0,6004.0,8017.0,11531.004873360309,4591.920416911844
42,13107.0,5137.0,6046.0,8097.0,11659.22312374356,4624.923079916138
43,13212.0,5193.0,6100.0,8168.0,11753.581531169897,4673.2587184198865
44,13316.0,5244.0,6152.0,8237.0,11847.240746820078,4718.223888064869
45,13415.0,5285.0,6214.0,8305.0,11938.399727986633,4763.548707572068
46,13523.0,5337.0,6273.0,8378.0,12036.311575485792,4812.2676421492015
47,13632.0,5392.0,6335.0,8453.0,12135.28579372469,4863.951764975381
48,13720.0,5423.0,6395.0,8513.0,12216.461117657373,4903.261311935203
49,13833.0,5468.0,6447.0,8583.0,12316.99789100101,4943.497746972933
50,13932.0,5520.0,6493.0,8648.0,12405.17379377993,4986.011269002325
51,14040.0,5575.0,6569.0,8728.0,12506.008028930943,5045.653270897303
52,14152.0,5624.0,6651.0,8809.0,12610.264614133916,5103.985555583713
53,14289.0,5684.0,6701.0,8891.0,12730.242666203843,5149.020426868503
54,14414.0,5740.0,6765.0,8973.0,12843.057450047307,5200.9345931793105
55,14520.0,5814.0,6820.0,9051.0,12939.679756678352,5260.835111499193
56,14636.0,5871.0,6872.0,9126.0,13043.29671882707,5307.942747025028
57,14754.0,5920.0,6940.0,9205.0,13151.004339835425,5358.859421389543
58,14870.0,5968.0,6999.0,9279.0,13254.776737527733,5403.892177844165
59,14984.0,6019.0,7045.0,9349.0,13355.267620866085,5444.224638569087
60,15081.0,6070.0,7093.0,9415.0,13443.410139248484,5488.540183445917
61,15201.0,6130.0,7147.0,9493.0,13550.698393178083,5537.993524677953
62,15214.0,6143.0,7183.0,9513.0,13566.278539240386,5562.404063248254
63,15194.0,6146.0,7190.0,9510.0,13551.730322522768,5570.608574919217
64,15182.0,6143.0,7198.0,9508.0,13543.409964716513,5574.717597519453
65,15207.0,6147.0,7198.0,9517.0,13563.017002353467,5573.481733912416
66,15255.0,6161.0,7212.0,9543.0,13604.954732637969,5583.844958141541
67,15266.0,6169.0,7220.0,9552.0,13615.361036957787,5591.474262242823
68,15208.0,6163.0,7214.0,9528.0,13566.985877255163,5591.334826944816
69,15228.0,6167.0,7220.0,9538.0,13584.103671023107,5594.397259742529
70,15212.0,6161.0,7224.0,9532.0,13571.50924205734,5594.824714035565
71,15201.0,6146.0,7196.0,9514.0,13557.86435438513,5572.579875616164
72,15237.0,6170.0,7212.0,9540.0,13591.020149295731,5591.5026716464745
73,15281.0,6179.0,7218.0,9559.0,13627.003799981838,5594.051654440712
74,15264.0,6176.0,7207.0,9549.0,13611.975838799273,5588.901007129578
75,15259.0,6167.0,7190.0,9539.0,13605.39007597648,5575.5219202059925
