,JW21-R_SS31,JW21-NP_SS31,JW55-RB_SS31,JW22-LF_SS31,JW22-NP_SS31,Mean,Std_dev_upper,Std_dev_lower
1,3755.0,417.0,5465.0,5179.0,788.0,3121.0,5260.446696383592,1007.1522451238202
2,3801.0,426.0,5571.0,5256.0,803.0,3171.0,5345.698753084359,1022.3946760249355
3,3864.0,445.0,5708.0,5368.0,825.0,3242.0,5462.49607070132,1048.0976559477185
4,3937.0,459.0,5852.0,5519.0,857.0,3325.0,5600.033574843823,1077.1892202414365
5,4005.0,466.0,5955.0,5603.0,866.0,3379.0,5693.068538310825,1092.6458571195349
6,4066.0,475.0,6034.0,5684.0,880.0,3428.0,5773.221901370245,1110.8415028222776
7,4132.0,483.0,6146.0,5775.0,896.0,3486.0,5871.730300488021,1128.8905439945243
8,4195.0,489.0,6256.0,5866.0,903.0,3542.0,5970.098467251002,1142.9575064952896
9,4265.0,495.0,6364.0,5963.0,915.0,3600.0,6070.463087493247,1159.1725576117683
10,4332.0,503.0,6486.0,6076.0,934.0,3666.0,6182.841227941617,1179.3257679921153
11,4399.0,506.0,6589.0,6175.0,942.0,3722.0,6281.932922298291,1192.7501604599788
12,4453.0,516.0,6713.0,6281.0,958.0,3784.0,6388.907324007261,1210.3143937824807
13,4527.0,524.0,6854.0,6386.0,967.0,3852.0,6508.5990790231535,1227.1694277066908
14,4597.0,534.0,6981.0,6513.0,992.0,3923.0,6628.173611187767,1250.27304003697
15,4661.0,547.0,7090.0,6614.0,1002.0,3983.0,6729.91648338035,1268.9578080227743
16,4729.0,555.0,7200.0,6687.0,1021.0,4038.0,6821.03802824659,1288.341164678066
17,4804.0,564.0,7306.0,6781.0,1033.0,4098.0,6921.882764327632,1307.8892122565608
18,4850.0,568.0,7396.0,6876.0,1046.0,4147.0,7007.877237258996,1320.4100991210971
19,4926.0,574.0,7492.0,6977.0,1071.0,4208.0,7106.767531210462,1343.9494999796766
20,4993.0,580.0,7583.0,7083.0,1083.0,4264.0,7202.863022780522,1360.3824051960673
21,5059.0,589.0,7698.0,7188.0,1099.0,4327.0,7309.529575153726,1380.1424319071334
22,5130.0,598.0,7835.0,7321.0,1121.0,4401.0,7436.503450829861,1401.8511953587645
23,5214.0,622.0,7970.0,7429.0,1138.0,4475.0,7556.182868098982,1430.670658219526
24,5293.0,625.0,8099.0,7531.0,1151.0,4540.0,7670.243339848624,1447.2218580381268
25,5339.0,633.0,8223.0,7627.0,1167.0,4598.0,7771.563701372113,1462.4203219629208
26,5399.0,639.0,8309.0,7733.0,1181.0,4652.0,7863.7356315031075,1478.7537534631188
27,5466.0,653.0,8423.0,7828.0,1201.0,4714.0,7965.217336116837,1501.7449006991997
28,5517.0,656.0,8536.0,7927.0,1214.0,4770.0,8064.769976796559,1514.6897697395884
29,5576.0,665.0,8637.0,8014.0,1222.0,4823.0,8156.234190192263,1529.6621235751145
30,5651.0,674.0,8746.0,8128.0,1237.0,4887.0,8264.914351588368,1549.565269511781
